Item Name,Serving Size,Protein (g),Total Fat (g),Carbohydrates (g),Sugar (g),Fiber (g),Sodium (mg),Cholesterol (mg)
"Soup, cream of onion, canned, prepared with equal volume water",Not specified,1.13,2.16,5.2,0.0,0.4,380.0,6.0
"Tomato products, canned, sauce, with onions, green peppers, and celery",Not specified,0.94,0.74,8.77,7.36,1.4,368.0,0.0
"Bagels, plain, enriched, with calcium propionate (includes onion, poppy, sesame)",Not specified,10.6,1.32,52.4,8.43,1.6,422.0,0.0
"Bagels, plain, unenriched, with calcium propionate (includes onion, poppy, sesame)",Not specified,10.5,1.6,53.4,0.0,2.3,534.0,0.0
GARLIC,3.0 g,0.0,0.0,33.3,0.0,0.0,0.0,0.0
GARLIC,15.0 g,0.0,0.0,0.0,0.0,0.0,1670.0,0.0
GARLIC,56.0 g,12.5,28.6,1.79,1.79,0.0,768.0,71.0
"Garlic, raw",Not specified,6.62,0.38,28.2,0.0,2.7,0.0,0.0
"Garlic, raw",Not specified,6.36,0.5,33.1,1.0,2.1,17.0,0.0
"Garlic bread, frozen",Not specified,8.36,16.6,41.7,3.69,2.5,544.0,0.0
"Spices, garlic powder",Not specified,16.6,0.73,72.7,2.43,9.0,60.0,0.0
"PIZZA HUT, breadstick, parmesan garlic",Not specified,12.2,12.9,44.5,1.11,2.4,539.0,7.0
"Fast foods, breadstick, soft, prepared with garlic and parmesan cheese",Not specified,12.2,12.9,44.5,1.11,2.4,539.0,7.0
"HORMEL ALWAYS TENDER, Pork Loin Filets, Lemon Garlic-Flavored",Not specified,17.8,4.16,1.79,0.22,0.0,590.0,42.0
"Abiyuch, raw",Not specified,1.5,0.1,17.6,8.55,5.3,20.0,0.0
"GARLIC ADDICTION WITH GARLIC HUMMUS, GARLIC",28.0 GRM,7.14,17.9,17.9,0.0,3.6,357.0,0.0
"GARLIC BREAD WITH REAL GARLIC, GARLIC",57.0 g,8.77,14.0,45.6,1.75,1.8,526.0,0.0
"GARLIC BREAD WITH REAL GARLIC, GARLIC",57.0 g,8.77,14.0,45.6,1.75,1.8,456.0,0.0
"GARLIC HERB COD, GARLIC, GARLIC",141.0 g,12.8,7.09,18.4,0.71,0.7,411.0,25.0
"TRIBE, GARLIC HUMMUS, GARLIC, GARLIC",28.0 g,3.57,14.3,17.9,0.0,3.6,446.0,0.0
"CROSTINI WITH GARLIC, GARLIC",30.0 GRM,10.0,13.3,66.7,3.33,3.3,933.0,0.0
"FLATBREADS, GARLIC, GARLIC",16.0 g,12.5,9.38,75.0,6.25,6.2,469.0,0.0
"GARLIC AIOLI, GARLIC",14.0 g,0.0,64.3,7.14,0.0,0.0,464.0,36.0
"GARLIC BAGELS, GARLIC",81.0 g,8.64,0.62,46.9,1.23,3.7,296.0,0.0
"GARLIC BAGUETTE, GARLIC",57.0 g,8.77,1.75,43.9,0.0,1.8,526.0,0.0
"GARLIC BOLOGNA, GARLIC",56.0 g,16.1,7.14,0.0,0.0,0.0,768.0,54.0
"GARLIC BOLOGNA, GARLIC",32.0 g,9.38,21.9,3.12,3.12,0.0,1160.0,94.0
"GARLIC BOLOGNA, GARLIC",32.0 g,9.38,21.9,3.12,3.12,0.0,1160.0,94.0
"GARLIC BOLOGNA, GARLIC",37.0 GRM,10.8,24.3,10.8,5.41,0.0,1160.0,68.0
"GARLIC BOLOGNA, GARLIC",45.0 MG,13.3,24.4,6.67,2.22,0.0,978.0,56.0
"GARLIC BOLOGNA, GARLIC",56.0 GRM,12.5,23.2,1.79,1.79,0.0,946.0,62.0
"GARLIC BOLOGNA, GARLIC",45.0 g,13.3,24.4,6.67,2.22,0.0,1110.0,56.0
"GARLIC BOLOGNA, GARLIC",32.0 g,9.38,21.9,3.12,3.12,0.0,1160.0,94.0
"GARLIC BREAD, GARLIC",57.0 g,8.77,14.0,45.6,1.75,1.8,596.0,0.0
"GARLIC BREAD, GARLIC",57.0 g,8.77,14.0,43.9,1.75,1.8,579.0,0.0
"GARLIC BREAD, GARLIC",57.0 g,8.77,2.63,50.9,0.0,1.8,614.0,0.0
"GARLIC BREAD, GARLIC",57.0 GRM,8.77,14.0,45.6,1.75,1.8,579.0,0.0
"GARLIC BREAD, GARLIC",57.0 g,8.77,14.0,45.6,1.75,0.0,596.0,0.0
"GARLIC BREAD, GARLIC",57.0 g,8.77,14.0,45.6,1.75,1.8,596.0,0.0
"GARLIC BREAD, GARLIC",57.0 g,8.77,14.0,45.6,1.75,1.8,596.0,0.0
"GARLIC BREAD, GARLIC",57.0 GRM,8.77,14.0,43.9,1.75,1.8,579.0,0.0
"GARLIC BREAD, GARLIC",47.0 g,6.38,29.8,36.2,2.13,2.1,936.0,0.0
"GARLIC BREAD, GARLIC",57.0 g,8.77,10.5,52.6,1.75,3.5,333.0,0.0
"GARLIC BREAD, GARLIC",57.0 g,8.77,14.0,45.6,1.75,1.8,509.0,0.0
"GARLIC BREAD, GARLIC",47.0 GRM,8.51,14.9,44.7,2.13,2.1,617.0,0.0
"GARLIC BREADSTICKS, GARLIC",50.0 g,8.0,10.0,46.0,4.0,2.0,380.0,0.0
"GARLIC BREADSTICKS, GARLIC",15.0 g,13.3,13.3,73.3,0.0,0.0,933.0,0.0
"GARLIC BREADSTICKS, GARLIC",50.0 g,8.0,12.0,46.0,4.0,2.0,580.0,0.0
"GARLIC BREADSTICKS, GARLIC",50.0 g,8.0,0.0,46.0,4.0,2.0,440.0,0.0
"GARLIC BREADSTICKS, GARLIC",14.0 GRM,14.3,3.57,71.4,0.0,7.1,821.0,0.0
"GARLIC BREADSTICKS, GARLIC",51.0 g,7.84,7.84,47.1,3.92,2.0,373.0,0.0
"GARLIC BREADSTICKS, GARLIC",50.0 GRM,8.0,12.0,44.0,2.0,2.0,360.0,0.0
"GARLIC BREADSTICKS, GARLIC",68.0 MG,7.35,5.15,45.6,2.94,0.0,412.0,15.0
"GARLIC BREADSTICKS, GARLIC",50.0 GRM,12.0,10.0,42.0,4.0,2.0,520.0,10.0
GINGER,0.6000000238418579 g,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GINGER,28.0 g,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GINGER,4.0 g,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Ginger root, raw",Not specified,1.82,0.75,17.8,1.7,2.0,13.0,0.0
"Spices, ginger, ground",Not specified,8.98,4.24,71.6,3.39,14.1,27.0,0.0
"Beverages, carbonated, ginger ale",Not specified,0.0,0.0,8.76,8.9,0.0,7.0,0.0
"Ginger root, pickled, canned, with artificial sweetener",Not specified,0.33,0.1,4.83,0.0,2.6,906.0,0.0
"Archway Home Style Cookies, Reduced Fat Ginger Snaps",Not specified,4.67,11.1,76.2,36.3,1.1,406.0,1.0
"SEAGRAM'S, GINGER ALE, GINGER, GINGER",360.0 ml,0.0,0.0,7.22,7.22,0.0,11.0,0.0
"GINGER ELIXIR, GINGER",80.0 g,0.0,0.0,12.5,11.2,0.0,0.0,0.0
"GINGER ALE, GINGER",360.0 MLT,0.0,0.0,9.72,9.72,0.0,10.0,0.0
"GINGER ALE, GINGER",355.0 ml,0.0,0.0,10.4,10.4,0.0,10.0,0.0
"GINGER ALE, GINGER",200.0 ml,0.0,0.0,8.5,8.5,0.0,2.0,0.0
"GINGER ALE, GINGER",360.0 ml,0.0,0.0,10.3,10.3,0.0,10.0,0.0
"GINGER ALE, GINGER",355.0 ml,0.0,0.0,9.3,9.01,0.0,17.0,0.0
"GINGER ALE, GINGER",591.0 ml,0.0,0.0,9.64,9.64,0.0,8.0,0.0
"GINGER ALE, GINGER",240.0 ml,0.0,0.0,9.17,9.17,0.0,17.0,0.0
"GINGER ALE, GINGER",355.0 ml,0.0,0.0,10.1,10.1,0.0,10.0,0.0
"GINGER ALE, GINGER",240.0 ml,0.0,0.0,9.17,9.17,0.0,10.0,0.0
"GINGER ALE, GINGER",355.0 ml,0.0,0.0,9.86,9.86,0.0,0.0,0.0
"GINGER ALE, GINGER",237.0 ml,0.0,0.0,6.75,6.33,0.0,6.0,0.0
"GINGER ALE, GINGER",237.0 MLT,0.0,0.0,6.75,6.33,0.0,6.0,0.0
"GINGER ALE, GINGER",240.0 MLT,0.0,0.0,10.4,10.4,0.0,10.0,0.0
"GINGER ALE, GINGER",473.0 ml,0.0,0.0,9.3,9.09,0.0,17.0,0.0
"GINGER ALE, GINGER",355.0 ml,0.0,0.0,9.3,9.01,0.0,17.0,0.0
"GINGER ALE, GINGER",240.0 ml,0.0,0.0,10.4,10.4,0.0,10.0,0.0
"GINGER ALE, GINGER",360.0 ml,0.0,0.0,10.3,10.3,0.0,10.0,0.0
"GINGER ALE, GINGER",355.0 ml,0.0,0.0,10.4,10.4,0.0,10.0,0.0
"GINGER ALE, GINGER",355.0 ml,0.0,0.0,7.32,7.32,0.0,8.0,0.0
"GINGER ALE, GINGER",354.0 ml,0.0,0.0,10.4,10.4,0.0,10.0,0.0
"GINGER ALE, GINGER",360.0 ml,0.0,0.0,9.72,9.72,0.0,10.0,0.0
"GINGER ALE, GINGER",240.0 MLT,0.0,0.0,10.4,10.4,0.0,10.0,0.0
"GINGER ALE, GINGER",355.0 ml,0.0,0.0,9.3,9.3,0.0,10.0,0.0
"GINGER ALE, GINGER",355.0 ml,0.0,0.0,10.4,10.4,0.0,10.0,0.0
"GINGER ALE, GINGER",222.0 MLT,0.0,0.0,10.4,10.4,0.0,11.0,0.0
"GINGER ALE, GINGER",355.0 ml,0.0,0.0,9.86,9.86,0.0,0.0,0.0
"GINGER ALE, GINGER",354.0 ml,0.0,0.0,10.4,10.4,0.0,10.0,0.0
"GINGER ALE, GINGER",354.0 ml,0.0,0.0,10.4,10.4,0.0,10.0,0.0
"GINGER ALE, GINGER",355.0 ml,0.0,0.0,9.3,9.01,0.0,8.0,0.0
"GINGER ALE, GINGER",355.0 MLT,0.0,0.0,10.4,10.4,0.0,10.0,0.0
"GINGER ALE, GINGER",221.0 ml,0.0,0.0,9.5,9.05,0.0,18.0,0.0
"GINGER ALE, GINGER",355.0 ml,0.0,0.0,9.86,9.86,0.0,10.0,0.0
"GINGER ALE, GINGER",355.0 ml,0.0,0.0,10.1,9.86,0.0,8.0,0.0
"GINGER ALE, GINGER",355.0 MLT,0.0,0.0,0.0,0.0,0.0,10.0,0.0
"GINGER ALE, GINGER",355.0 ml,0.0,0.0,9.86,9.86,0.0,10.0,0.0
"GINGER ALE, GINGER",355.0 ml,0.0,0.0,10.4,10.4,0.0,10.0,0.0
"GINGER ALE, GINGER",355.0 ml,0.0,0.0,9.3,9.01,0.0,8.0,0.0
"GINGER ALE, GINGER",360.0 ml,0.0,0.0,10.0,10.0,0.0,10.0,0.0
"GINGER ALE, GINGER",355.0 MLT,0.0,0.0,10.4,10.4,0.0,10.0,0.0
"GINGER BEER, GINGER",200.0 ml,0.0,0.0,9.0,9.0,0.0,0.0,0.0
CAULIFLOWER,85.0 g,2.35,0.0,4.71,2.35,2.4,24.0,0.0
CAULIFLOWER,8.0 g,12.5,0.0,50.0,25.0,25.0,250.0,0.0
CAULIFLOWER,85.0 g,0.0,0.0,3.53,0.0,2.4,18.0,0.0
CAULIFLOWER,85.0 g,2.35,0.59,2.35,0.0,2.4,41.0,0.0
CAULIFLOWER,85.0 g,2.35,0.0,3.53,1.18,2.4,35.0,0.0
CAULIFLOWER,85.0 g,0.0,0.0,3.53,1.18,2.4,35.0,0.0
CAULIFLOWER,85.0 g,2.35,0.0,4.71,2.35,2.4,24.0,0.0
CAULIFLOWER,85.0 g,2.35,0.0,4.71,2.35,2.4,24.0,0.0
CAULIFLOWER,85.0 g,2.35,0.0,4.71,2.35,2.4,24.0,0.0
CAULIFLOWER,85.0 GRM,2.35,0.0,4.71,2.35,2.4,24.0,0.0
CAULIFLOWER,85.0 g,1.18,0.0,4.71,2.35,1.2,29.0,0.0
CAULIFLOWER,85.0 MG,1.18,0.0,4.71,2.35,1.2,29.0,0.0
CAULIFLOWER,85.0 GRM,1.18,0.0,4.71,2.35,1.2,29.0,0.0
CAULIFLOWER,85.0 g,2.35,0.0,4.71,2.35,2.4,24.0,0.0
CAULIFLOWER,86.0 g,1.16,0.0,4.65,2.33,1.2,29.0,0.0
CAULIFLOWER,85.0 g,1.18,0.0,4.71,2.35,2.4,24.0,0.0
"Cauliflower, raw",Not specified,1.64,0.238,4.72,0.0,1.95,20.0,0.0
"Cauliflower, raw",Not specified,1.92,0.28,4.97,1.91,2.0,30.0,0.0
"Cauliflower, frozen, unprepared",Not specified,2.01,0.27,4.68,2.22,2.3,24.0,0.0
"Cauliflower, green, raw",Not specified,2.95,0.3,6.09,3.03,3.2,23.0,0.0
"Cauliflower, green, cooked, with salt",Not specified,3.04,0.31,6.28,0.0,3.3,259.0,0.0
"Cauliflower, cooked, boiled, drained, with salt",Not specified,1.84,0.45,4.11,1.86,2.3,242.0,0.0
"Cauliflower, green, cooked, no salt added",Not specified,3.04,0.31,6.28,3.12,3.3,23.0,0.0
"Cauliflower, cooked, boiled, drained, without salt",Not specified,1.84,0.45,4.11,2.08,2.3,15.0,0.0
"Cauliflower, frozen, cooked, boiled, drained, with salt",Not specified,1.61,0.22,3.16,0.46,2.7,254.0,0.0
"Pickles, chowchow, with cauliflower onion mustard, sweet",Not specified,1.5,0.9,26.6,23.9,1.5,527.0,0.0
"Cauliflower, frozen, cooked, boiled, drained, without salt",Not specified,1.61,0.22,3.75,1.05,2.7,18.0,0.0
"CAULIFLOWER BURGERS, CAULIFLOWER",71.0 GRM,5.63,8.45,16.9,1.41,2.8,423.0,7.0
"CAULIFLOWER CRUST, CAULIFLOWER",56.0 g,10.7,7.14,25.0,1.79,1.8,188.0,18.0
"CAULIFLOWER GNOCCHI, CAULIFLOWER",140.0 g,3.57,0.36,37.1,2.14,2.9,429.0,0.0
"CAULIFLOWER GNOCCHI, CAULIFLOWER",140.0 g,3.57,0.36,37.1,0.71,2.1,407.0,0.0
"CAULIFLOWER GNOCCHI, CAULIFLOWER",140.0 g,5.0,2.14,33.6,0.71,3.6,514.0,43.0
"CAULIFLOWER GNOCCHI, CAULIFLOWER",140.0 g,3.57,0.36,31.4,2.14,3.6,321.0,0.0
"CAULIFLOWER GNOCCHI, CAULIFLOWER",140.0 g,5.0,2.14,33.6,0.71,0.0,514.0,43.0
"CAULIFLOWER GNOCCHI, CAULIFLOWER",140.0 g,1.43,2.14,17.9,0.71,2.9,229.0,0.0
"CAULIFLOWER GRATIN, CAULIFLOWER",110.0 GRM,2.73,3.64,6.36,2.73,0.9,373.0,14.0
"CAULIFLOWER KORMA, CAULIFLOWER",283.0 g,3.18,4.24,17.3,1.41,2.8,184.0,2.0
"CAULIFLOWER LINGUINI, CAULIFLOWER",85.0 g,11.8,2.94,52.9,5.88,4.7,871.0,82.0
"CAULIFLOWER PUFFS, CAULIFLOWER",28.0 GRM,10.7,28.6,60.7,3.57,7.1,571.0,0.0
"CAULIFLOWER PUFFS, CAULIFLOWER",85.0 g,3.53,7.06,16.5,2.35,2.4,341.0,0.0
"CAULIFLOWER PUREE, CAULIFLOWER",91.0 g,2.2,5.49,7.69,1.1,4.4,209.0,3.0
"CAULIFLOWER RICE, CAULIFLOWER",85.0 g,2.35,0.0,4.71,2.35,2.4,29.0,0.0
"CAULIFLOWER RICE, CAULIFLOWER",85.0 GRM,2.35,0.0,4.71,2.35,2.4,29.0,0.0
"CAULIFLOWER RICE, CAULIFLOWER",283.0 g,1.06,0.0,2.47,1.06,1.1,15.0,0.0
"CAULIFLOWER TORTILLA, CAULIFLOWER",50.0 GRM,6.0,2.0,50.0,2.0,6.0,620.0,0.0
CAULIFLOWER CRUMBLES CHOPPED CAULIFLOWER,85.0 g,2.35,0.0,4.71,2.35,2.4,29.0,0.0
"CAULIFLOWER AU GRATIN, CAULIFLOWER",116.0 g,3.45,3.45,7.76,3.45,0.9,440.0,9.0
"CAULIFLOWER CRAB CAKES, CAULIFLOWER",85.0 GRM,11.8,4.12,3.53,1.18,1.2,459.0,100.0
"CAULIFLOWER FLATBREAD CRUST, CAULIFLOWER",58.0 g,6.9,7.76,48.3,1.72,3.4,207.0,0.0
"CAULIFLOWER GNOCCHI PESTO, CAULIFLOWER",140.0 GRM,1.43,10.0,15.0,0.71,2.1,264.0,0.0
"Cabbage, kimchi",Not specified,1.1,0.5,2.4,1.06,1.6,498.0,0.0
"Cabbage, raw",Not specified,1.28,0.1,5.8,3.2,2.5,18.0,0.0
"Cabbage, green, raw",Not specified,0.961,0.228,6.38,0.0,0.0,16.1,0.0
"Cabbage, mustard, salted",Not specified,1.1,0.1,5.63,1.4,3.1,717.0,0.0
"Cabbage, napa, cooked",Not specified,1.1,0.17,2.23,0.0,0.0,11.0,0.0
"Cabbage, red, raw",Not specified,1.24,0.214,6.79,0.0,0.0,11.7,0.0
"Cabbage, red, raw",Not specified,1.43,0.16,7.37,3.83,2.1,27.0,0.0
"Cabbage, savoy, raw",Not specified,2.0,0.1,6.1,2.27,3.1,28.0,0.0
"Cabbage, bok choy, raw",Not specified,1.02,0.234,3.51,0.0,1.26,14.3,0.0
"Cabbage, chinese (pak-choi), raw",Not specified,1.5,0.2,2.18,1.18,1.0,65.0,0.0
"Cabbage, chinese (pe-tsai), raw",Not specified,1.2,0.2,3.23,1.41,1.2,9.0,0.0
"Cabbage, japanese style, fresh, pickled",Not specified,1.6,0.1,5.67,1.3,3.1,277.0,0.0
"Cabbage, common, cooked, boiled, drained, with salt",Not specified,1.27,0.06,5.51,2.79,1.9,255.0,0.0
"Cabbage, cooked, boiled, drained, without salt",Not specified,1.27,0.06,5.51,2.79,1.9,8.0,0.0
"Cabbage, red, cooked, boiled, drained, with salt",Not specified,1.51,0.09,6.94,3.32,2.6,244.0,0.0
"Cabbage, savoy, cooked, boiled, drained, with salt",Not specified,1.8,0.09,5.41,0.0,2.8,260.0,0.0
"Cabbage, red, cooked, boiled, drained, without salt",Not specified,1.51,0.09,6.94,3.32,2.6,28.0,0.0
"Cabbage, savoy, cooked, boiled, drained, without salt",Not specified,1.8,0.09,5.41,0.0,2.8,24.0,0.0
"Cabbage, chinese (pak-choi), cooked, boiled, drained, with salt",Not specified,1.56,0.16,1.78,0.83,1.0,270.0,0.0
"Cabbage, chinese (pe-tsai), cooked, boiled, drained, with salt",Not specified,1.5,0.17,2.41,0.0,1.7,245.0,0.0
"Cabbage, common (danish, domestic, and pointed types), stored, raw",Not specified,1.21,0.18,5.37,0.0,2.3,18.0,0.0
"Cabbage, chinese (pak-choi), cooked, boiled, drained, without salt",Not specified,1.56,0.16,1.78,0.83,1.0,34.0,0.0
"Cabbage, chinese (pe-tsai), cooked, boiled, drained, without salt",Not specified,1.5,0.17,2.41,0.0,1.7,9.0,0.0
"Cabbage, common (danish, domestic, and pointed types), freshly harvest, raw",Not specified,1.21,0.18,5.37,0.0,2.3,18.0,0.0
"CABBAGE SOUP, CABBAGE",213.0 g,0.94,0.23,9.86,0.0,0.9,117.0,0.0
"CABBAGE SOUP, CABBAGE",213.0 GRM,0.94,0.23,9.86,5.63,0.9,117.0,0.0
"GREEN CABBAGE, CARROTS & RED CABBAGE COLESLAW, GREEN CABBAGE, CARROTS & RED CABBAGE",85.0 GRM,1.18,0.0,5.88,3.53,2.4,24.0,0.0
"CABBAGE & CHICKEN DUMPLINGS, CABBAGE & CHICKEN",125.0 g,7.2,1.2,25.6,1.6,1.6,280.0,12.0
"CABBAGE KETTLE FRESH SOUP, CABBAGE",227.0 g,0.88,1.32,4.41,2.64,1.3,225.0,0.0
"CHICKEN & CABBAGE DUMPLINGS, CHICKEN & CABBAGE",94.0 GRM,8.51,1.6,21.3,1.06,3.2,255.0,16.0
"RED CABBAGE SAUERKRAUT, RED CABBAGE",71.0 g,2.82,0.0,8.45,2.82,5.6,42.0,0.0
CABBAGE PIEROGI,99.0 g,4.04,4.04,22.2,0.0,1.0,131.0,51.0
GREEN CABBAGE,85.0 g,1.18,0.0,5.88,3.53,2.4,18.0,0.0
GREEN CABBAGE,85.0 g,1.18,0.0,5.88,3.53,2.4,18.0,0.0
NAPA CABBAGE,28.0 g,3.57,0.0,7.14,0.0,3.6,643.0,0.0
RED CABBAGE,130.0 g,1.54,0.0,13.1,10.8,2.3,508.0,0.0
RED CABBAGE,130.0 g,1.54,0.0,15.4,10.8,3.8,423.0,0.0
RED CABBAGE,130.0 g,1.54,0.0,11.5,7.69,2.3,523.0,0.0
RED CABBAGE,30.0 g,0.0,0.0,6.67,6.67,3.3,200.0,0.0
RED CABBAGE,130.0 GRM,1.54,0.0,10.8,9.23,2.3,523.0,0.0
RED CABBAGE,130.0 g,1.54,0.0,9.23,7.69,2.3,523.0,0.0
RED CABBAGE,80.0 g,1.25,0.0,7.5,5.0,1.2,355.0,0.0
SHREDDED CABBAGE,85.0 GRM,1.18,0.0,5.88,3.53,2.4,24.0,0.0
STUFFED CABBAGE,99.0 g,3.03,15.2,19.2,0.0,4.0,788.0,0.0
STUFFED CABBAGE,120.0 GRM,1.67,9.17,19.2,1.67,3.3,417.0,0.0
"CABBAGE & CARROTS COLE SLAW, CABBAGE & CARROTS",85.0 g,1.18,0.0,5.88,3.53,2.4,24.0,0.0
"CABBAGE & CARROTS COLE SLAW, CABBAGE & CARROTS",85.0 g,1.18,0.0,5.88,3.53,2.4,6.0,0.0
"RED CABBAGE SHREDDED SALAD, RED CABBAGE",85.0 g,1.18,0.0,7.06,3.53,2.4,29.0,0.0
"COLESLAW WITH SHREDDED GREEN CABBAGE, CARROTS & RED CABBAGE",85.0 g,1.18,0.0,5.88,0.0,2.4,24.0,0.0
"CABBAGE & CARROTS BAKED VEGETABLES EMPANADA, CABBAGE & CARROTS",113.0 g,3.54,1.33,18.6,0.88,2.7,195.0,0.0
"Carrot, dehydrated",Not specified,8.1,1.49,79.6,38.8,23.6,275.0,0.0
"Carrots, raw",Not specified,0.93,0.24,9.58,4.74,2.8,69.0,0.0
"Babyfood, carrots, toddler",Not specified,0.6,0.3,5.23,2.5,2.3,48.0,0.0
"Carrot juice, canned",Not specified,0.95,0.15,9.28,3.91,0.8,66.0,0.0
"Carrots, baby, raw",Not specified,0.64,0.13,8.24,4.76,2.9,78.0,0.0
"Carrots, baby, raw",Not specified,0.805,0.138,9.08,0.0,2.69,62.7,0.0
"Carrots, frozen, unprepared",Not specified,0.81,0.47,7.92,0.0,3.2,66.0,0.0
"Carrots, mature, raw",Not specified,0.941,0.351,10.3,0.0,3.1,86.6,0.0
"Babyfood, carrots and beef, strained",Not specified,3.4,2.5,5.7,2.04,2.6,69.0,8.0
"Babyfood, juice, orange-carrot",Not specified,0.5,0.1,9.9,8.4,0.4,10.0,0.0
"Babyfood, vegetables, carrots, junior",Not specified,0.8,0.2,7.2,3.16,1.7,49.0,0.0
"Babyfood, vegetables, carrots, strained",Not specified,0.8,0.1,6.0,3.64,1.7,69.0,0.0
"Peas and carrots, frozen, unprepared",Not specified,3.4,0.47,11.2,0.0,3.4,79.0,0.0
"Carrots, cooked, boiled, drained, with salt",Not specified,0.76,0.18,8.22,3.45,3.0,302.0,0.0
"SMART SOUP, Vietnamese Carrot Lemongrass",Not specified,1.3,1.06,8.2,4.4,1.5,145.0,0.0
"Cake, pudding-type, carrot, dry mix",Not specified,5.1,9.8,79.2,0.0,0.0,567.0,0.0
"Carrots, canned, no salt added, drained solids",Not specified,0.64,0.19,5.54,2.48,1.5,42.0,0.0
"Carrots, canned, no salt added, solids and liquids",Not specified,0.59,0.14,5.36,2.46,1.8,34.0,0.0
"Carrots, canned, regular pack, drained solids",Not specified,0.64,0.19,5.54,2.48,1.5,242.0,0.0
"Carrots, canned, regular pack, solids and liquids",Not specified,0.58,0.14,5.37,2.46,1.8,240.0,0.0
"Carrots, cooked, boiled, drained, without salt",Not specified,0.76,0.18,8.22,3.45,3.0,58.0,0.0
"Carrots, frozen, cooked, boiled, drained, with salt",Not specified,0.58,0.68,7.73,4.08,3.3,295.0,0.0
"Carrots, frozen, cooked, boiled, drained, without salt",Not specified,0.58,0.68,7.73,4.08,3.3,59.0,0.0
"Peas and carrots, canned, no salt added, solids and liquids",Not specified,2.17,0.27,8.48,2.83,3.3,4.0,0.0
"Peas and carrots, canned, regular pack, solids and liquids",Not specified,2.17,0.27,8.48,0.0,2.0,260.0,0.0
"Peas and carrots, frozen, cooked, boiled, drained, with salt",Not specified,3.09,0.42,10.1,4.36,3.1,304.0,0.0
"Babyfood, GERBER, 2nd Foods, apple, carrot and squash, organic",Not specified,1.1,0.0,14.8,9.09,1.2,20.0,2.0
"Peas and carrots, frozen, cooked, boiled, drained, without salt",Not specified,3.09,0.42,10.1,4.36,3.1,68.0,0.0
"Carrots, frozen, unprepared (Includes foods for USDA's Food Distribution Program)",Not specified,0.78,0.46,7.9,4.76,3.3,68.0,0.0
"Vegetables, mixed (corn, lima beans, peas, green beans, carrots) canned, no salt added",Not specified,1.4,0.2,7.31,2.41,3.1,26.0,0.0
"CARROT CAKE, CARROT",125.0 GRM,4.0,22.4,37.6,25.6,0.8,312.0,48.0
"CARROT CAKE, CARROT",99.0 g,4.75,17.2,64.8,42.4,2.0,479.0,56.0
"CARROT CAKE, CARROT",57.0 g,3.51,19.3,50.9,40.4,1.8,246.0,26.0
"CARROT CAKE, CARROT",80.0 g,3.75,20.0,42.5,31.2,1.2,338.0,50.0
"CARROT CAKE, CARROT",99.0 g,3.03,19.0,35.4,24.2,5.1,225.0,17.0
"CARROT CAKE, CARROT",92.0 GRM,3.26,18.5,54.4,39.1,1.1,337.0,22.0
"CARROT CAKE, CARROT",200.0 g,3.0,20.5,57.0,41.5,1.5,255.0,52.0
"CARROT CAKE, CARROT",99.0 g,4.04,22.2,45.4,33.3,1.0,172.0,45.0
"CARROT CAKE, CARROT",89.0 g,2.25,25.8,47.2,36.0,1.1,416.0,45.0
"CARROT CAKE, CARROT",99.0 g,3.03,9.09,61.6,36.4,2.0,495.0,10.0
"CARROT CAKE, CARROT",102.0 g,2.94,25.5,46.1,33.3,1.0,441.0,44.0
"CARROT CAKE, CARROT",80.0 g,2.5,20.0,53.8,27.5,2.5,325.0,62.0
"CARROT CAKES, CARROT",82.0 g,3.66,18.3,47.6,30.5,1.2,439.0,43.0
"CARROT CHIPS, CARROT",85.0 g,1.18,0.0,9.41,5.88,2.4,76.0,0.0
"CARROT CHIPS, CARROT",40.0 GRM,2.5,25.0,57.5,7.5,12.5,275.0,0.0
"CARROT CUPCAKE, CARROT",85.0 GRM,3.53,17.6,54.1,38.8,0.0,188.0,47.0
"CARROT CUPCAKES, CARROT",92.0 g,3.26,26.1,48.9,30.4,2.2,250.0,38.0
"CARROT CUPCAKES, CARROT",75.0 g,0.0,21.3,48.0,37.3,1.3,187.0,40.0
"CARROT DRESSING, CARROT",30.0 g,0.0,20.0,13.3,10.0,0.0,967.0,0.0
"CARROT ESCABECHE, CARROT",28.0 g,0.0,0.0,7.14,3.57,3.6,821.0,0.0
PEAS,125.0 g,3.2,0.4,9.6,4.8,2.4,240.0,0.0
PEAS,125.0 g,3.2,0.4,9.6,4.8,2.4,240.0,0.0
PEAS,90.0 GRM,5.56,0.0,14.4,5.56,5.6,0.0,0.0
PEAS,113.0 GRM,1.77,0.0,4.42,2.65,1.8,124.0,0.0
PEAS,89.0 g,5.62,0.56,13.5,6.74,4.5,118.0,0.0
PEAS,125.0 g,3.2,0.4,8.0,4.0,2.4,12.0,0.0
PEAS,85.0 g,0.0,0.0,14.1,0.0,4.7,0.0,0.0
PEAS,89.0 g,4.49,0.0,13.5,4.49,4.5,0.0,0.0
PEAS,125.0 GRM,2.4,0.0,8.8,4.0,2.4,112.0,0.0
"Blackeye pea, dry",Not specified,21.2,2.42,61.8,0.0,0.0,3.46,0.0
"Peas, green, raw",Not specified,5.42,0.4,14.4,5.67,5.7,5.0,0.0
