name,serving_size,protein,carbohydrates,sugar,fiber,water,calories,total_fat
"Fish, raw, Atlantic, croaker",100 g,17.78 g,0.00 g,0.00 g,0.0 g,78.03 g,104,3.2g
"SMART SOUP, Greek Minestrone",100 g,1.70 g,8.40 g,2.70 g,2.7 g,88.30 g,40,0.5g
"Cream, lowfat, half and half",100 g,3.33 g,3.33 g,3.33 g,0.0 g,87.83 g,72,5g
"Babyfood, mixed fruit, juice",100 g,0.10 g,11.70 g,8.46 g,0.1 g,87.90 g,47,0.1g
"Milk shakes, thick chocolate",100 g,3.05 g,21.15 g,20.85 g,0.3 g,72.20 g,119,2.7g
"Grapefruit juice, raw, white",100 g,0.50 g,9.20 g,9.10 g,0.1 g,90.00 g,39,0.1g
"Babyfood, arrowroot, cookies",100 g,7.60 g,75.40 g,0,0.2 g,5.60 g,424,10g
"Fish, raw, Atlantic, pollock",100 g,19.44 g,0.00 g,0.00 g,0.0 g,78.18 g,92,1g
"Egg, raw, fresh, whole, duck",100 g,12.81 g,1.45 g,0.93 g,0.0 g,70.83 g,185,14g
"McDONALD'S, Sausage McMUFFIN",100 g,12.66 g,24.52 g,1.93 g,1.4 g,38.94 g,333,21g
HEALTHY REQUEST Tomato juice,100 g,0.82 g,4.53 g,3.70 g,0.8 g,93.70 g,21,0g
"Crackers, whole-wheat, matzo",100 g,13.10 g,78.90 g,0,11.8 g,4.80 g,351,1.5g
"Soup, dry, cubed, beef broth",100 g,17.30 g,16.10 g,14.51 g,0.0 g,3.30 g,170,4g
"Puddings, ready-to-eat, rice",100 g,3.23 g,18.39 g,11.59 g,0.3 g,75.15 g,108,2.2g
"Pectin, dry mix, unsweetened",100 g,0.30 g,90.40 g,0,8.6 g,8.70 g,325,0.3g
"Candies, CARAMELLO Candy Bar",100 g,6.19 g,63.81 g,56.92 g,1.2 g,6.79 g,462,21g
"Veal, raw, external fat only",100 g,8.85 g,0.89 g,0.00 g,0.0 g,38.19 g,503,52g
"Seeds, raw, breadfruit seeds",100 g,7.40 g,29.24 g,0,5.2 g,56.27 g,191,5.6g
"Mushrooms, stir-fried, white",100 g,3.58 g,4.04 g,0.00 g,1.8 g,91.10 g,26,0.3g
"Snacks, rolls, fruit leather",100 g,0.10 g,85.80 g,49.16 g,0.0 g,10.20 g,371,3g
"Sauce, thin, white, homemade",100 g,3.77 g,7.40 g,4.78 g,0.1 g,80.66 g,105,6.7g
"Sauce, ready-to-serve, salsa",100 g,1.52 g,6.64 g,4.01 g,1.9 g,89.28 g,29,0.2g
"Peppers, raw, red, hot chili",100 g,1.87 g,8.81 g,5.30 g,1.5 g,88.02 g,40,0.4g
"Squash, raw, scallop, summer",100 g,1.20 g,3.84 g,2.39 g,1.2 g,94.18 g,18,0.2g
"Currants, raw, red and white",100 g,1.40 g,13.80 g,7.37 g,4.3 g,83.95 g,56,0.2g
"Crustaceans, raw, blue, crab",100 g,18.06 g,0.04 g,0,0.0 g,79.02 g,87,1.1g
"Pie fillings, cherry, canned",100 g,0.37 g,28.00 g,0,0.6 g,71.23 g,115,0.1g
"Yogurt, nonfat, plain, Greek",100 g,10.19 g,3.60 g,3.24 g,0.0 g,85.10 g,59,0.4g
"Crackers, reduced fat, wheat",100 g,9.34 g,71.52 g,15.01 g,3.4 g,2.73 g,444,13g
"Gravy, powder, dry, mushroom",100 g,10.00 g,64.66 g,3.26 g,4.8 g,3.34 g,328,4g
"Gravy, dry, unspecified type",100 g,13.00 g,58.00 g,0,0,4.00 g,344,8g
"Seeds, low-fat, sesame flour",100 g,50.14 g,35.51 g,0,0,7.10 g,333,1.8g
"Mushrooms, microwaved, white",100 g,3.91 g,6.04 g,0.00 g,2.5 g,88.52 g,35,0.5g
"Beverages, AMP, Energy drink",100 g,0.25 g,12.08 g,12.08 g,0.0 g,87.30 g,46,0.1g
SILK Black Cherry soy yogurt,100 g,2.35 g,17.06 g,11.76 g,0.6 g,78.18 g,88,1.2g
"Snack, original bar, BALANCE",100 g,28.00 g,48.73 g,34.89 g,3.1 g,7.76 g,415,12g
"Beverages, well, tap, water",100 g,0.00 g,0.00 g,0,0.0 g,99.90 g,0,0g
"Chrysanthemum, raw, garland",100 g,3.36 g,3.02 g,0,3.0 g,91.40 g,24,0.6g
"Stew, moose (Alaska Native)",100 g,6.60 g,6.00 g,0,0.5 g,86.10 g,55,0.5g
"Ice creams, rich, chocolate",100 g,4.72 g,19.78 g,17.35 g,0.9 g,57.52 g,251,17g
"Oil, walrus (Alaska Native)",100 g,0.00 g,0.00 g,0,0,0.00 g,900,100g
"Grapefruit juice, raw, pink",100 g,0.50 g,9.20 g,0,0,90.00 g,39,0.1g
"Babyfood, junior, ham, meat",100 g,11.30 g,3.70 g,0.00 g,0.0 g,80.50 g,97,3.8g
"Radish seeds, raw, sprouted",100 g,3.81 g,3.60 g,0,0,90.07 g,43,2.5g
"MORI-NU, firm, silken, Tofu",100 g,6.90 g,2.40 g,1.27 g,0.1 g,87.40 g,62,2.7g
"MORI-NU, soft, silken, Tofu",100 g,4.80 g,2.90 g,1.31 g,0.1 g,89.00 g,55,2.7g
"Bread, rye, reduced-calorie",100 g,9.10 g,40.50 g,2.29 g,12.0 g,46.00 g,203,2.9g
"Snacks, air-popped, popcorn",100 g,12.94 g,77.78 g,0.87 g,14.5 g,3.32 g,387,4.5g
"Muffins, dry mix, blueberry",100 g,3.48 g,61.00 g,32.73 g,1.4 g,30.18 g,293,3.3g
"Frankfurter, unheated, beef",100 g,11.16 g,3.36 g,1.31 g,0.0 g,53.94 g,316,28g
"Turkey, raw, giblets, whole",100 g,18.18 g,0.07 g,0.00 g,0.0 g,76.03 g,124,5.1g
"Corn pudding, home prepared",100 g,4.42 g,16.97 g,6.59 g,1.2 g,72.33 g,131,5g
"Popovers, enriched, dry mix",100 g,10.40 g,71.00 g,0,0,11.70 g,371,4.3g
"Soybeans, raw, mature seeds",100 g,36.49 g,30.16 g,7.33 g,9.3 g,8.54 g,446,20g
"Beef sausage, cooked, fresh",100 g,18.21 g,0.35 g,0.00 g,0.0 g,51.12 g,332,28g
"Luncheon meat, canned, pork",100 g,12.50 g,2.10 g,0.00 g,0.0 g,51.50 g,334,30g
"MURRAY, Vanilla Sugar Wafer",100 g,3.90 g,70.00 g,41.00 g,1.0 g,0.40 g,527,26g
"Radishes, raw, white icicle",100 g,1.10 g,2.63 g,0,1.4 g,95.37 g,14,0.1g
"Vinespinach, raw, (basella)",100 g,1.80 g,3.40 g,0,0,93.10 g,19,0.3g
"Syrups, high-fructose, corn",100 g,0.00 g,76.00 g,75.65 g,0.0 g,24.00 g,281,0g
"Stew, steamed corn (Navajo)",100 g,8.82 g,10.80 g,0.51 g,2.3 g,76.03 g,112,3.8g
"OSCAR MAYER, Bologna (beef)",100 g,11.05 g,2.45 g,1.40 g,0.0 g,54.15 g,316,29g
"Ostrich, raw, outside strip",100 g,23.36 g,0.00 g,0.00 g,0.0 g,74.58 g,120,2.2g
"Milk, fluid, indian buffalo",100 g,3.75 g,5.18 g,0,0.0 g,83.39 g,97,6.9g
"Nuts, dried, black, walnuts",100 g,24.06 g,9.58 g,1.10 g,6.8 g,4.56 g,619,59g
"ON THE BORDER, Mexican rice",100 g,3.56 g,34.15 g,1.38 g,1.1 g,55.20 g,195,4.9g
"Mushrooms, raw, Chanterelle",100 g,1.49 g,6.86 g,1.16 g,3.8 g,89.85 g,38,0.5g
"McDONALD'S, Baked Apple Pie",100 g,3.07 g,43.62 g,17.25 g,2.0 g,36.98 g,323,16g
"McDONALD'S, Sausage Biscuit",100 g,9.62 g,27.20 g,1.97 g,1.2 g,34.71 g,376,25g
"CHICK-FIL-A, Chick-n-Strips",100 g,21.40 g,10.39 g,1.24 g,0.9 g,54.35 g,228,11g
"Edamame, unprepared, frozen",100 g,11.22 g,7.61 g,2.48 g,4.8 g,75.17 g,109,4.7g
"Mollusks, raw, blue, mussel",100 g,11.90 g,3.69 g,0.00 g,0.0 g,80.58 g,86,2.2g
"Quail, total edible, cooked",100 g,25.10 g,0.00 g,0.00 g,0.0 g,60.00 g,227,14g
"Cereals, dry, CREAM OF RICE",100 g,6.30 g,82.40 g,0.30 g,0.7 g,10.50 g,370,0.5g
"LEAN POCKETS, Ham N Cheddar",100 g,10.28 g,32.52 g,7.60 g,1.7 g,48.48 g,230,6.5g
"Snacks, tropical, trail mix",100 g,6.30 g,65.60 g,0,0,9.00 g,442,17g
"Nuts, full fat, acorn flour",100 g,7.49 g,54.65 g,0,0,6.00 g,501,30g
"Sauce, ready-to-serve, fish",100 g,5.06 g,3.64 g,3.64 g,0.0 g,71.07 g,35,0g
"Fish, raw, european, turbot",100 g,16.05 g,0.00 g,0,0.0 g,76.95 g,95,3g
"Fast foods, caramel, sundae",100 g,4.71 g,31.81 g,0,0.0 g,56.50 g,196,6g
"Pie fillings, canned, apple",100 g,0.10 g,26.10 g,13.80 g,1.0 g,73.40 g,100,0.1g
"Sauce, ready-to-serve, plum",100 g,0.89 g,42.81 g,0,0.7 g,53.71 g,184,1g
"Ostrich, cooked, inside leg",100 g,29.01 g,0.00 g,0.00 g,0.0 g,69.95 g,141,1.9g
"Gravy, mushroom, CAMPBELL'S",100 g,0.00 g,5.08 g,1.69 g,0,91.90 g,34,1.7g
"Snacks, smoked, beef sticks",100 g,21.50 g,5.40 g,0,0,19.10 g,550,50g
"Cheese, whole milk, ricotta",100 g,11.26 g,3.04 g,0.27 g,0.0 g,71.70 g,174,13g
SILK French Vanilla Creamer,100 g,0.00 g,20.00 g,20.00 g,0.0 g,72.95 g,133,6.7g
"Bread, canned, boston brown",100 g,5.20 g,43.30 g,2.42 g,4.7 g,47.20 g,195,1.5g
"Cheese, queso blanco, white",100 g,20.38 g,2.53 g,1.76 g,0,48.70 g,310,24g
"Cheese, queso fresco, fresh",100 g,18.09 g,2.98 g,2.32 g,0.0 g,51.42 g,299,24g
"Beverages, powder, Lemonade",100 g,0.00 g,97.57 g,94.70 g,0.4 g,1.43 g,376,1.1g
"Apricots, sweetened, frozen",100 g,0.70 g,25.10 g,0,2.2 g,73.30 g,98,0.1g
"Muffins, toaster-type, corn",100 g,5.30 g,57.90 g,0,1.6 g,23.60 g,346,11g
"Tomatoes, cooked, ripe, red",100 g,0.95 g,4.01 g,2.49 g,0.7 g,94.34 g,18,0.1g
"Squash, raw, baby, zucchini",100 g,2.71 g,3.11 g,0,1.1 g,92.73 g,21,0.4g
HORMEL Canadian Style Bacon,100 g,16.88 g,1.87 g,1.43 g,0,72.95 g,122,4.9g
"McDONALD'S, QUARTER POUNDER",100 g,14.10 g,22.17 g,5.13 g,1.6 g,50.37 g,244,12g
"Brotwurst, link, beef, pork",100 g,14.30 g,2.98 g,2.98 g,0.0 g,51.30 g,323,28g
"Pork, cooked, ground, fresh",100 g,25.69 g,0.00 g,0.00 g,0.0 g,52.75 g,297,21g
"Sausage, raw, pork, Italian",100 g,14.25 g,0.65 g,0,0.0 g,51.08 g,346,31g
Ham and cheese loaf or roll,100 g,13.60 g,4.00 g,0.00 g,0.0 g,60.30 g,241,19g
"CRACKER BARREL, steak fries",100 g,3.26 g,30.87 g,0.86 g,3.5 g,51.32 g,255,13g
"McDONALD'S, Sausage Burrito",100 g,11.10 g,22.97 g,2.57 g,1.2 g,47.55 g,277,16g
"Candies, CHUNKY Bar, NESTLE",100 g,7.50 g,60.00 g,52.50 g,2.5 g,2.90 g,475,28g
"Fish, raw, freshwater, drum",100 g,17.54 g,0.00 g,0,0.0 g,77.33 g,119,4.9g
"Pate, canned, chicken liver",100 g,13.45 g,6.55 g,0.00 g,0.0 g,65.64 g,201,13g
"BURGER KING, Chicken Strips",100 g,18.20 g,20.49 g,0.00 g,1.3 g,43.02 g,292,15g
"Pork, raw, salt pork, cured",100 g,5.05 g,0.00 g,0.00 g,0.0 g,11.00 g,748,81g
"Cereals ready-to-eat, ALPEN",100 g,11.20 g,75.70 g,20.00 g,9.1 g,7.40 g,352,3.3g
"Light ice cream, Creamsicle",100 g,1.54 g,32.75 g,18.46 g,0.0 g,61.77 g,165,3.1g
"Toppings, marshmallow cream",100 g,0.80 g,79.00 g,46.80 g,0.1 g,19.80 g,322,0.3g
"Fish, raw, Pacific, herring",100 g,16.39 g,0.00 g,0,0.0 g,71.52 g,195,14g
"Sandwich spread, beef, pork",100 g,7.66 g,11.94 g,0.00 g,0.2 g,60.28 g,235,17g
"Nuts, hazelnuts or filberts",100 g,14.95 g,16.70 g,4.34 g,9.7 g,5.31 g,628,61g
"Babyfood, teething biscuits",100 g,10.70 g,76.40 g,12.65 g,1.4 g,6.40 g,392,4.2g
"PACE, Organic Picante Sauce",100 g,0.00 g,6.25 g,6.25 g,3.1 g,89.30 g,25,0g
"Peppers, raw, yellow, sweet",100 g,1.00 g,6.32 g,0,0.9 g,92.02 g,27,0.2g
"Fish, raw, florida, pompano",100 g,18.48 g,0.00 g,0.00 g,0.0 g,71.12 g,164,9.5g
"Potato salad, home-prepared",100 g,2.68 g,11.17 g,0,1.3 g,76.00 g,143,8.2g
"GIRL SCOUTS, Chalet Cookies",100 g,4.20 g,72.30 g,35.40 g,1.5 g,2.80 g,478,19g
"GIRL SCOUTS, Samoas Cookies",100 g,3.50 g,64.10 g,35.80 g,4.4 g,5.70 g,489,26g
"Cheese, semisoft type, goat",100 g,21.58 g,0.12 g,0.12 g,0.0 g,45.52 g,364,30g
"Game meat, raw, ground, elk",100 g,21.76 g,0.00 g,0.00 g,0.0 g,68.84 g,172,8.8g
"Candies, unsweetened, carob",100 g,8.15 g,56.29 g,34.11 g,3.8 g,1.54 g,540,31g
"Babyfood, toddler, potatoes",100 g,1.00 g,11.73 g,0.91 g,0.9 g,86.80 g,52,0.1g
"Veal, cooked, seam fat only",100 g,11.16 g,2.11 g,0.00 g,0.0 g,35.99 g,505,50g
"Sauce, ready-to-serve, duck",100 g,0.36 g,60.61 g,30.54 g,0.6 g,37.44 g,245,0.1g
"Corn dogs, prepared, frozen",100 g,8.57 g,26.96 g,7.54 g,1.0 g,50.32 g,250,12g
"Seeds, paste, sesame butter",100 g,18.08 g,24.05 g,0,5.5 g,1.60 g,586,51g
"Noodles, enriched, dry, egg",100 g,14.16 g,71.27 g,1.88 g,3.3 g,9.01 g,384,4.4g
"Persimmons, dried, japanese",100 g,1.38 g,73.43 g,0,14.5 g,23.01 g,274,0.6g
"Carrots, unprepared, frozen",100 g,0.78 g,7.90 g,4.76 g,3.3 g,90.04 g,36,0.5g
"Carambola, raw, (starfruit)",100 g,1.04 g,6.73 g,3.98 g,2.8 g,91.38 g,31,0.3g
"Fast foods, chicken tenders",100 g,19.22 g,17.25 g,0.40 g,1.2 g,46.64 g,271,14g
"Beans, home prepared, baked",100 g,5.54 g,21.63 g,0,5.5 g,65.17 g,155,5.2g
"Cream, half and half, fluid",100 g,3.13 g,4.73 g,4.13 g,0.0 g,81.24 g,123,10g
"SILK Light Vanilla, soymilk",100 g,2.47 g,4.12 g,2.88 g,0.4 g,91.95 g,33,0.8g
"Turnips, unprepared, frozen",100 g,1.04 g,2.94 g,0,1.8 g,95.67 g,16,0.2g
"PACE, Cilantro Chunky Salsa",100 g,0.00 g,6.25 g,6.25 g,3.1 g,88.60 g,25,0g
"PACE, Chipotle Chunky Salsa",100 g,0.00 g,6.25 g,6.25 g,3.1 g,88.60 g,25,0g
"Jams and preserves, apricot",100 g,0.70 g,64.40 g,43.40 g,0.3 g,34.50 g,242,0.2g
"Butter, with salt, whipped",100 g,0.49 g,2.87 g,0.06 g,0.0 g,16.72 g,718,78g
"Ham, cooked, smoked, honey",100 g,17.93 g,7.27 g,0.00 g,0.0 g,69.94 g,122,2.4g
"Spaghetti, cooked, spinach",100 g,4.58 g,26.15 g,0,0,68.14 g,130,0.6g
"Bockwurst, raw, veal, pork",100 g,14.03 g,2.95 g,1.33 g,1.0 g,54.47 g,301,26g
"Guinea hen, raw, meat only",100 g,20.64 g,0.00 g,0,0.0 g,74.44 g,110,2.5g
"Cookies, soft-type, raisin",100 g,4.10 g,68.00 g,47.56 g,1.2 g,13.10 g,401,14g
"Squash, raw, acorn, winter",100 g,0.80 g,10.42 g,0,1.5 g,87.78 g,40,0.1g
"Candies, KIT KAT Wafer Bar",100 g,6.51 g,64.59 g,48.68 g,1.0 g,1.63 g,518,26g
"Peppers, raw, green, sweet",100 g,0.86 g,4.64 g,2.40 g,1.7 g,93.89 g,20,0.2g
"Turkey sausage, raw, fresh",100 g,18.79 g,0.47 g,0.00 g,0.0 g,70.42 g,155,8.1g
"DENNY'S, top sirloin steak",100 g,28.90 g,0.14 g,0,0,61.82 g,182,7.3g
"Pomegranate juice, bottled",100 g,0.15 g,13.13 g,12.65 g,0.1 g,85.95 g,54,0.3g
"Nance, unsweetened, frozen",100 g,0.66 g,16.97 g,8.31 g,7.5 g,80.64 g,73,1.2g
"Sauce, sriracha, hot chile",100 g,1.93 g,19.16 g,15.11 g,2.2 g,71.84 g,93,0.9g
"Bread, toasted, wheat germ",100 g,10.70 g,54.30 g,4.14 g,2.3 g,29.30 g,293,3.3g
"Bread, kneel down (Navajo)",100 g,4.29 g,39.47 g,3.74 g,0,52.96 g,195,2.2g
"Vegetable oil, palm kernel",100 g,0.00 g,0.00 g,0.00 g,0.0 g,0.00 g,862,100g
"Fish, raw, chinook, salmon",100 g,19.93 g,0.00 g,0.00 g,0.0 g,71.64 g,179,10g
"Milk, fluid, mature, human",100 g,1.03 g,6.89 g,6.89 g,0.0 g,87.50 g,70,4.4g
"Pork, pickled, feet, cured",100 g,11.63 g,0.01 g,0.00 g,0.0 g,75.00 g,140,10g
"Canadian bacon, unprepared",100 g,20.31 g,1.34 g,0.90 g,0.0 g,72.34 g,110,2.6g
"Cake, dry mix, gingerbread",100 g,4.40 g,74.60 g,46.62 g,1.7 g,4.40 g,437,14g
"BURGER KING, Vanilla Shake",100 g,3.19 g,19.03 g,11.67 g,0.0 g,68.13 g,168,8.7g
"Cheese, shredded, parmesan",100 g,37.86 g,3.41 g,0.90 g,0.0 g,25.00 g,415,27g
"Pumpkin, with salt, canned",100 g,1.10 g,8.09 g,3.30 g,2.9 g,89.97 g,34,0.3g
"KEEBLER, Crackers, ANIMALS",100 g,5.60 g,75.30 g,25.40 g,1.4 g,2.80 g,450,14g
"Game meat, raw, wild, boar",100 g,21.51 g,0.00 g,0,0.0 g,72.54 g,122,3.3g
"Rolls, whole-wheat, dinner",100 g,8.70 g,51.10 g,8.46 g,7.5 g,33.10 g,266,4.7g
"Cheese, nonfat, mozzarella",100 g,31.70 g,3.50 g,1.48 g,1.8 g,60.20 g,141,0g
"KFC, Crispy Chicken Strips",100 g,20.25 g,13.66 g,0.00 g,1.4 g,47.93 g,274,15g
"Ice creams, light, vanilla",100 g,4.78 g,29.46 g,22.12 g,0.3 g,59.85 g,180,4.8g
"Ostrich, raw, inside strip",100 g,23.69 g,0.00 g,0.00 g,0.0 g,74.16 g,127,2.9g
"SILK Very Vanilla, soymilk",100 g,2.47 g,7.82 g,6.58 g,0.4 g,87.41 g,53,1.7g
"Fish, raw, sockeye, salmon",100 g,22.25 g,0.00 g,0.00 g,0.0 g,72.54 g,131,4.7g
"Fast foods, scrambled, egg",100 g,13.84 g,2.08 g,1.64 g,0.0 g,66.70 g,212,16g
"Snacks, salted, pita chips",100 g,11.79 g,68.26 g,4.76 g,3.8 g,2.00 g,457,15g
"Taro, without salt, cooked",100 g,0.52 g,34.60 g,0.49 g,5.1 g,63.80 g,142,0.1g
"Bratwurst, cooked, chicken",100 g,19.44 g,0.00 g,0.00 g,0.0 g,70.28 g,176,10g
"Gravy, chicken, CAMPBELL'S",100 g,0.79 g,5.87 g,0.94 g,0,89.39 g,51,2.7g
"Fast foods, mashed, potato",100 g,1.65 g,14.65 g,0.50 g,1.3 g,79.62 g,89,2.8g
"OSCAR MAYER, Salami (hard)",100 g,25.90 g,1.60 g,0.20 g,0.0 g,38.25 g,368,29g
"Gravy, dry, instant turkey",100 g,11.72 g,57.56 g,7.60 g,3.8 g,5.24 g,409,15g
"Sorghum flour, whole-grain",100 g,8.43 g,76.64 g,1.94 g,6.6 g,10.26 g,359,3.3g
"Milk shakes, thick vanilla",100 g,3.86 g,17.75 g,17.75 g,0.0 g,74.45 g,112,3g
"MOTHER'S, Macaroon Cookies",100 g,6.10 g,55.70 g,25.40 g,4.1 g,3.20 g,552,34g
"PACE, Thick & Chunky Salsa",100 g,0.00 g,6.25 g,6.25 g,3.1 g,88.70 g,25,0g
"Egg, omelet, cooked, whole",100 g,10.57 g,0.64 g,0.31 g,0.0 g,76.13 g,154,12g
"Java-plum, raw, (jambolan)",100 g,0.72 g,15.56 g,0,0,83.13 g,60,0.2g
"Snacks, regular, trail mix",100 g,13.80 g,44.90 g,0,0,9.20 g,462,29g
"Puddings, dry mix, tapioca",100 g,0.10 g,94.30 g,65.00 g,0.2 g,4.00 g,369,0.1g
"Dip, original flavor, bean",100 g,5.44 g,15.89 g,0.99 g,4.9 g,72.95 g,119,3.7g
"SWANSON, Chicken A La King",100 g,4.70 g,4.03 g,0.67 g,0.7 g,80.10 g,71,4g
"McDONALD'S, Barbeque Sauce",100 g,1.55 g,36.93 g,34.31 g,1.3 g,57.68 g,165,1.2g
"Pasta, cooked, whole-wheat",100 g,5.99 g,30.07 g,0.75 g,3.9 g,61.80 g,149,1.7g
"Sauce, tomato based, steak",100 g,1.25 g,22.04 g,9.82 g,1.5 g,71.00 g,95,0.2g
"Mushrooms, dried, shiitake",100 g,9.58 g,75.37 g,2.21 g,11.5 g,9.50 g,296,1g
"Cream substitute, powdered",100 g,2.48 g,59.29 g,7.77 g,0.0 g,2.98 g,529,33g
"Carissa, raw, (natal-plum)",100 g,0.50 g,13.63 g,0,0,84.17 g,62,1.3g
"Beverages, chocolate syrup",100 g,2.10 g,65.10 g,49.65 g,2.6 g,31.00 g,279,1.1g
"Mayonnaise, made with tofu",100 g,5.95 g,3.06 g,0.85 g,1.1 g,56.33 g,322,32g
"Frankfurter, low fat, beef",100 g,12.00 g,1.60 g,0.85 g,0.0 g,63.80 g,233,9.5g
"Babyfood, toddler, carrots",100 g,0.60 g,5.23 g,2.50 g,2.3 g,93.50 g,26,0.3g
"Snacks, plain, bagel chips",100 g,12.34 g,66.36 g,6.02 g,4.1 g,5.05 g,451,15g
SILK Strawberry soy yogurt,100 g,2.35 g,18.24 g,12.94 g,0.6 g,77.00 g,94,1.2g
"Fish, raw, american, shad",100 g,16.93 g,0.00 g,0.00 g,0.0 g,68.19 g,197,14g
"Fish, raw, rainbow, smelt",100 g,17.63 g,0.00 g,0.00 g,0.0 g,78.77 g,97,2.4g
"Bread, unenriched, raisin",100 g,7.90 g,52.30 g,0,4.3 g,33.60 g,274,4.4g
"Cheese, low sodium, swiss",100 g,28.40 g,3.40 g,1.31 g,0.0 g,37.80 g,374,27g
"Bagels, whole grain white",100 g,9.30 g,54.52 g,9.30 g,4.7 g,34.52 g,255,0g
Ice cream cookie sandwich,100 g,3.70 g,39.60 g,21.30 g,1.2 g,48.70 g,240,7.4g
"Apples, without skin, raw",100 g,0.27 g,12.76 g,10.10 g,1.3 g,86.67 g,48,0.1g
"Tomatoes, canned, crushed",100 g,1.64 g,7.29 g,4.40 g,1.9 g,89.44 g,32,0.3g
"Chrysanthemum leaves, raw",100 g,3.36 g,3.01 g,0,3.0 g,91.40 g,24,0.6g
"Lentils, raw, pink or red",100 g,23.91 g,63.10 g,0,10.8 g,7.82 g,358,2.2g
"Barbecue loaf, beef, pork",100 g,15.84 g,6.40 g,0,0.0 g,64.82 g,173,8.9g
"Quail, raw, meat and skin",100 g,19.63 g,0.00 g,0,0.0 g,69.65 g,192,12g
"Bologna, meat and poultry",100 g,10.34 g,6.31 g,1.97 g,0.0 g,55.93 g,281,24g
"Bacon, low sodium, turkey",100 g,13.33 g,4.80 g,0.00 g,0.0 g,58.93 g,253,20g
"Corned beef loaf, jellied",100 g,22.90 g,0.00 g,0,0.0 g,69.10 g,153,6.1g
"TACO BELL, Nachos Supreme",100 g,6.21 g,21.39 g,1.63 g,3.7 g,58.15 g,223,12g
"Mustard, yellow, prepared",100 g,3.74 g,5.83 g,0.92 g,4.0 g,83.72 g,60,3.3g
"Rhubarb, uncooked, frozen",100 g,0.55 g,5.10 g,1.10 g,1.8 g,93.51 g,21,0.1g
"BURGER KING, french fries",100 g,3.23 g,38.70 g,0.51 g,2.9 g,43.95 g,280,12g
"Bread, toasted, rice bran",100 g,9.70 g,47.30 g,5.08 g,5.3 g,35.90 g,264,5g
"Broccoli, cooked, chinese",100 g,1.14 g,3.81 g,0.84 g,2.5 g,93.54 g,22,0.7g
"Nuts, raw, macadamia nuts",100 g,7.91 g,13.82 g,4.57 g,8.6 g,1.36 g,718,76g
"Candies, MOUNDS Candy Bar",100 g,4.60 g,58.59 g,46.19 g,3.7 g,9.05 g,486,27g
"Ice creams, rich, vanilla",100 g,3.50 g,22.29 g,20.65 g,0.0 g,57.20 g,249,16g
"Ostrich, raw, outside leg",100 g,22.86 g,0.00 g,0.00 g,0.0 g,75.59 g,115,2g
"Fish, raw, orange, roughy",100 g,16.41 g,0.00 g,0.00 g,0.0 g,75.67 g,76,0.7g
"Lemons, without peel, raw",100 g,1.10 g,9.32 g,2.50 g,2.8 g,88.98 g,29,0.3g
"Nuts, raw, pistachio nuts",100 g,20.16 g,27.17 g,7.66 g,10.6 g,4.37 g,560,45g
"Egg, fried, cooked, whole",100 g,13.61 g,0.83 g,0.40 g,0.0 g,69.47 g,196,15g
"Mammy-apple, raw, (mamey)",100 g,0.50 g,12.50 g,0,3.0 g,86.20 g,51,0.5g
"Snacks, plain, pork skins",100 g,61.30 g,0.00 g,0.00 g,0.0 g,1.80 g,544,31g
"Edamame, prepared, frozen",100 g,11.91 g,8.91 g,2.18 g,5.2 g,72.77 g,121,5.2g
"Sandwich spread, meatless",100 g,8.00 g,9.00 g,1.90 g,3.3 g,70.00 g,149,9g
"Luncheon slices, meatless",100 g,17.78 g,4.44 g,2.22 g,1.1 g,65.01 g,189,11g
"KEEBLER, Cookies, ANIMALS",100 g,5.60 g,75.30 g,25.40 g,1.4 g,2.80 g,450,14g
"Vermicelli, made from soy",100 g,0.10 g,82.32 g,17.44 g,3.9 g,11.90 g,331,0.1g
"Frozen yogurts, chocolate",100 g,3.00 g,21.60 g,19.24 g,2.3 g,71.20 g,127,3.6g
"Mountain yam, raw, hawaii",100 g,1.34 g,16.30 g,0.31 g,2.5 g,81.44 g,67,0.1g
"PACE, Salsa Refried Beans",100 g,3.33 g,11.67 g,3.33 g,3.3 g,82.20 g,60,0g
Campbell's Pork and Beans,100 g,4.62 g,19.23 g,6.15 g,5.4 g,73.70 g,108,1.2g
"PACE, Triple Pepper Salsa",100 g,3.13 g,9.38 g,6.25 g,3.1 g,86.20 g,47,0g
"Cheese, low fat, muenster",100 g,24.70 g,3.50 g,3.50 g,0.0 g,50.50 g,271,18g
"Dessert topping, powdered",100 g,4.90 g,52.54 g,52.54 g,0.0 g,1.47 g,577,40g
"Gravy, turkey, CAMPBELL'S",100 g,1.69 g,5.08 g,1.69 g,0.0 g,89.80 g,42,1.7g
"SILK Unsweetened, soymilk",100 g,2.88 g,1.65 g,0.41 g,0.4 g,93.18 g,33,1.7g
"PACE, Diced Green Chilies",100 g,0.00 g,6.67 g,3.33 g,3.3 g,92.30 g,27,0g
"Blueberries, frozen, wild",100 g,0.00 g,13.85 g,0,4.4 g,85.80 g,57,0.2g
"Lupins, raw, mature seeds",100 g,36.17 g,40.37 g,0,18.9 g,10.44 g,371,9.7g
"Agave, cooked (Southwest)",100 g,0.99 g,32.00 g,20.87 g,10.6 g,65.40 g,135,0.3g
"Cookies, coconut macaroon",100 g,3.02 g,61.22 g,45.16 g,5.1 g,11.50 g,460,23g
