Item Name,Serving Size,Calories (kcal),Protein (g),Total Fat (g),Carbohydrates (g),Sugar (g),Fiber (g),Sodium (mg),Cholesterol (mg),Pakistani,Meal Type
SPINACH,85.0 g,24.0,2.35,0.0,3.53,0.0,2.4,76.0,0.0,True,Unspecified
SPINACH,85.0 GRM,18.0,1.18,0.0,2.35,0.0,0.0,0.0,0.0,True,Unspecified
SPINACH,115.0 g,17.0,2.61,0.0,2.61,0.0,2.6,39.0,0.0,True,Unspecified
SPINACH,220.0 g,11.0,0.91,0.0,1.82,0.0,0.9,164.0,0.0,True,Unspecified
SPINACH,85.0 GRM,29.0,2.35,0.0,3.53,0.0,2.4,76.0,0.0,True,Unspecified
SPINACH,85.0 g,24.0,2.35,0.0,3.53,0.0,2.4,76.0,0.0,True,Unspecified
SPINACH,85.0 GRM,24.0,2.35,0.0,3.53,0.0,2.4,76.0,0.0,True,Unspecified
SPINACH,85.0 g,29.0,2.35,0.0,4.71,0.0,2.4,100.0,0.0,True,Unspecified
SPINACH,85.0 g,24.0,2.35,0.0,3.53,0.0,2.4,76.0,0.0,True,Unspecified
SPINACH,85.0 g,24.0,2.35,0.0,3.53,0.0,2.4,76.0,0.0,True,Unspecified
SPINACH,115.0 g,26.0,1.74,0.0,3.48,0.0,1.7,296.0,0.0,True,Unspecified
SPINACH,120.0 g,21.0,1.67,0.0,3.33,0.0,1.7,317.0,0.0,True,Unspecified
SPINACH,85.0 g,294.0,11.8,2.35,55.3,0.0,3.5,24.0,59.0,True,Unspecified
SPINACH,85.0 g,24.0,2.35,0.0,3.53,0.0,2.4,76.0,0.0,True,Unspecified
SPINACH,85.0 GRM,24.0,2.35,0.0,3.53,0.0,2.4,76.0,0.0,True,Unspecified
SPINACH,85.0 GRM,24.0,2.35,0.0,3.53,0.0,2.4,76.0,0.0,True,Unspecified
SPINACH,85.0 g,24.0,2.35,0.0,3.53,0.0,2.4,76.0,0.0,True,Unspecified
SPINACH,85.0 GRM,24.0,2.35,0.0,3.53,0.0,2.4,76.0,0.0,True,Unspecified
SPINACH,115.0 g,22.0,1.74,0.0,3.48,0.0,1.7,313.0,0.0,True,Unspecified
SPINACH,115.0 g,26.0,1.74,0.0,3.48,0.0,1.7,313.0,0.0,True,Unspecified
SPINACH,115.0 g,26.0,2.61,0.0,3.48,0.0,3.5,270.0,0.0,True,Unspecified
SPINACH,85.0 g,29.0,2.35,0.0,3.53,0.0,2.4,76.0,0.0,True,Unspecified
SPINACH,121.0 MG,21.0,1.65,0.41,2.48,0.0,2.5,182.0,0.0,True,Unspecified
SPINACH,85.0 g,24.0,2.35,0.0,3.53,0.0,2.4,76.0,0.0,True,Unspecified
SPINACH,99.0 g,222.0,8.08,5.05,36.4,1.01,2.0,525.0,15.0,True,Unspecified
SPINACH,120.0 g,21.0,1.67,0.0,3.33,0.0,1.7,33.0,0.0,True,Unspecified
SPINACH,85.0 g,24.0,2.35,0.0,3.53,0.0,2.4,76.0,0.0,True,Unspecified
SPINACH,85.0 g,24.0,2.35,0.0,3.53,0.0,2.4,76.0,0.0,True,Unspecified
SPINACH,85.0 g,24.0,2.35,0.0,3.53,0.0,2.4,76.0,0.0,True,Unspecified
SPINACH,85.0 g,24.0,2.35,0.0,3.53,0.0,2.4,76.0,0.0,True,Unspecified
Spinach souffle,Not specified,172.0,7.89,13.0,5.9,1.85,0.7,566.0,118.0,True,Unspecified
"Spinach, baby",Not specified,0.0,2.85,0.619,2.41,0.0,1.56,111.0,0.0,True,Unspecified
"Spinach, mature",Not specified,0.0,2.91,0.604,2.64,0.0,1.59,107.0,0.0,True,Unspecified
"Spinach, raw",Not specified,97.0,2.86,0.39,3.63,0.42,2.2,79.0,0.0,True,Unspecified
"Malabar spinach, cooked",Not specified,23.0,2.98,0.78,2.71,0.0,2.1,55.0,0.0,True,Unspecified
"Spaghetti, spinach, cooked",Not specified,130.0,4.58,0.63,26.2,0.0,0.0,14.0,0.0,True,Unspecified
"Spaghetti, spinach, dry",Not specified,372.0,13.4,1.57,74.8,2.72,10.6,36.0,0.0,True,Unspecified
"Mustard spinach, (tendergreen), raw",Not specified,22.0,2.2,0.3,3.9,0.0,2.8,21.0,0.0,True,Unspecified
"New Zealand spinach, raw",Not specified,14.0,1.5,0.2,2.5,0.29,1.5,130.0,0.0,True,Unspecified
"Babyfood, vegetables, spinach, creamed, strained",Not specified,37.0,2.5,1.3,5.7,2.33,1.8,49.0,5.0,True,Lunch
"Noodles, egg, spinach, enriched, cooked",Not specified,132.0,5.04,1.57,24.2,0.71,2.3,12.0,33.0,True,Breakfast
"Noodles, egg, spinach, enriched, dry",Not specified,382.0,14.6,4.55,70.3,0.0,6.8,72.0,95.0,True,Breakfast
"Pasta, fresh-refrigerated, spinach, as purchased",Not specified,289.0,11.3,2.1,55.7,0.0,0.0,27.0,73.0,True,Lunch
"Pasta, fresh-refrigerated, spinach, cooked",Not specified,130.0,5.06,0.94,25.0,0.0,0.0,6.0,33.0,True,Lunch
"Spinach, cooked, boiled, drained, with salt",Not specified,23.0,2.97,0.26,3.75,0.43,2.4,306.0,0.0,True,Unspecified
"Spinach, canned, no salt added, solids and liquids",Not specified,19.0,2.11,0.37,2.92,0.33,2.2,75.0,0.0,True,Snack
"Spinach, canned, regular pack, drained solids",Not specified,23.0,2.81,0.5,3.4,0.4,2.4,322.0,0.0,True,Snack
OKRA,100.0 g,44.0,3.0,0.0,8.0,0.0,1.0,3.0,0.0,True,Unspecified
OKRA,100.0 g,30.0,2.0,0.0,7.0,3.0,2.0,3.0,0.0,True,Unspecified
OKRA,83.0 g,36.0,2.41,0.0,7.23,2.41,1.2,18.0,0.0,True,Unspecified
OKRA,83.0 g,30.0,2.41,0.0,7.23,1.2,3.6,6.0,0.0,True,Unspecified
"Okra, raw",Not specified,33.0,1.93,0.19,7.45,1.48,3.2,7.0,0.0,True,Unspecified
"Okra, frozen, unprepared",Not specified,30.0,1.69,0.25,6.63,2.97,2.2,3.0,0.0,True,Unspecified
"Okra, cooked, boiled, drained, with salt",Not specified,22.0,1.87,0.21,4.51,2.4,2.5,241.0,0.0,True,Unspecified
"Okra, cooked, boiled, drained, without salt",Not specified,94.0,1.87,0.21,4.51,2.4,2.5,6.0,0.0,True,Unspecified
"Okra, frozen, cooked, boiled, drained, with salt",Not specified,29.0,1.63,0.24,6.41,2.87,2.1,239.0,0.0,True,Unspecified
"Okra, frozen, cooked, boiled, drained, without salt",Not specified,121.0,1.63,0.24,6.41,2.87,2.1,3.0,0.0,True,Unspecified
"OKRA MILD PICKLED, OKRA MILD",28.0 GRM,18.0,0.0,0.0,3.57,0.0,0.0,1040.0,0.0,True,Unspecified
CUT OKRA,85.0 GRM,29.0,1.18,0.0,7.06,3.53,2.4,0.0,0.0,True,Unspecified
CUT OKRA,84.0 g,42.0,1.19,0.0,8.33,2.38,2.4,18.0,0.0,True,Unspecified
CUT OKRA,85.0 g,24.0,1.18,0.0,4.71,2.35,3.5,6.0,0.0,True,Unspecified
CUT OKRA,84.0 g,36.0,1.19,0.0,7.14,2.38,2.4,24.0,0.0,True,Unspecified
CUT OKRA,85.0 GRM,94.0,1.18,0.0,7.06,2.35,2.4,24.0,0.0,True,Unspecified
CUT OKRA,85.0 GRM,29.0,1.18,0.0,7.06,3.53,2.4,0.0,0.0,True,Unspecified
CUT OKRA,85.0 GRM,29.0,1.18,0.0,7.06,3.53,2.4,0.0,0.0,True,Unspecified
CUT OKRA,85.0 g,35.0,1.18,0.0,7.06,2.35,3.5,12.0,0.0,True,Unspecified
CUT OKRA,84.0 g,36.0,1.19,0.0,7.14,2.38,2.4,24.0,0.0,True,Unspecified
CUT OKRA,84.0 g,36.0,1.19,0.0,7.14,2.38,2.4,24.0,0.0,True,Unspecified
CUT OKRA,84.0 g,36.0,1.19,0.0,7.14,2.38,2.4,18.0,0.0,True,Unspecified
CUT OKRA,85.0 GRM,29.0,1.18,0.0,7.06,3.53,2.4,0.0,0.0,True,Unspecified
CUT OKRA,84.0 GRM,42.0,1.19,0.0,8.33,2.38,2.4,18.0,0.0,True,Unspecified
CUT OKRA,85.0 GRM,41.0,1.18,0.0,8.24,2.35,2.4,18.0,0.0,True,Unspecified
CUT OKRA,84.0 GRM,42.0,1.19,0.0,8.33,2.38,2.4,18.0,0.0,True,Unspecified
CUT OKRA,84.0 g,42.0,1.19,0.0,8.33,2.38,2.4,18.0,0.0,True,Unspecified
CUT OKRA,85.0 g,29.0,1.18,0.0,7.06,3.53,2.4,0.0,0.0,True,Unspecified
CUT OKRA,85.0 g,35.0,2.35,0.0,7.06,1.18,3.5,6.0,0.0,True,Unspecified
CUT OKRA,85.0 g,29.0,1.18,0.0,7.06,3.53,2.4,0.0,0.0,True,Unspecified
CUT OKRA,84.0 GRM,42.0,1.19,0.0,8.33,2.38,2.4,18.0,0.0,True,Unspecified
CUT OKRA,85.0 g,29.0,1.18,0.0,7.06,3.53,2.4,0.0,0.0,True,Unspecified
CUT OKRA,84.0 g,36.0,1.19,0.0,7.14,2.38,2.4,24.0,0.0,True,Unspecified
CUT OKRA,85.0 g,29.0,1.18,0.0,7.06,3.53,2.4,0.0,0.0,True,Unspecified
CUT OKRA,84.0 g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Unspecified
CUT OKRA,84.0 g,36.0,1.19,0.0,7.14,2.38,2.4,24.0,0.0,True,Unspecified
CUT OKRA,84.0 g,42.0,1.19,0.0,8.33,2.38,2.4,18.0,0.0,True,Unspecified
CUT OKRA,84.0 g,36.0,1.19,0.0,7.14,2.38,2.4,18.0,0.0,True,Unspecified
CUT OKRA,84.0 g,36.0,1.19,0.0,7.14,2.38,2.4,24.0,0.0,True,Unspecified
CUT OKRA,84.0 g,30.0,1.19,0.0,7.14,2.38,2.4,0.0,0.0,True,Unspecified
CUT OKRA,84.0 g,36.0,1.19,0.0,7.14,2.38,2.4,24.0,0.0,True,Unspecified
FROZEN OKRA,100.0 g,44.0,3.0,0.0,8.0,0.0,1.0,3.0,0.0,True,Unspecified
OKRA QUIMBOMBO,85.0 g,29.0,1.18,0.0,7.06,3.53,2.4,0.0,0.0,True,Unspecified
"PUBLIX, OKRA",84.0 g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Unspecified
SLICED OKRA,85.0 g,29.0,1.18,0.0,7.06,3.53,2.4,0.0,0.0,True,Unspecified
WHOLE OKRA,85.0 g,29.0,1.18,0.0,7.06,3.53,2.4,0.0,0.0,True,Unspecified
WHOLE OKRA,85.0 g,35.0,1.18,0.0,7.06,2.35,3.5,12.0,0.0,True,Unspecified
WHOLE OKRA,85.0 g,35.0,1.18,0.0,7.06,2.35,2.4,24.0,0.0,True,Unspecified
WHOLE OKRA,85.0 g,35.0,1.18,0.0,7.06,2.35,2.4,24.0,0.0,True,Unspecified
WHOLE OKRA,85.0 g,29.0,1.18,0.0,7.06,3.53,2.4,0.0,0.0,True,Unspecified
BIRYANI SAUCE,62.0 g,129.0,1.61,11.3,9.68,3.23,1.6,871.0,0.0,True,Lunch
CHICKEN BIRYANI,283.0 g,163.0,6.01,4.59,24.7,1.41,0.7,180.0,14.0,True,Lunch
CHICKEN BIRYANI,328.0 g,140.0,5.49,4.57,18.6,1.52,0.9,238.0,17.0,True,Lunch
CHICKEN BIRYANI,284.0 g,113.0,10.2,3.17,11.6,0.0,1.1,264.0,32.0,True,Lunch
CHICKEN BIRYANI,255.0 GRM,149.0,11.0,5.88,12.6,0.78,2.7,435.0,37.0,True,Lunch
LAMB BIRYANI,142.0 g,183.0,7.75,9.15,16.2,2.11,0.7,338.0,18.0,True,Lunch
VEGETABLE BIRYANI,132.5 g,196.0,3.02,9.06,24.9,0.0,3.0,649.0,23.0,True,Lunch
"CHICKEN BIRYANI WITH BASMATI RICE, CHICKEN BIRYANI",215.0 g,130.0,6.51,3.26,19.1,0.47,0.9,242.0,16.0,True,Lunch
"MEDIUM BIRYANI CURRY SPICE PASTE, BIRYANI",15.0 g,267.0,6.67,20.0,20.0,6.67,13.3,1330.0,0.0,True,Lunch
BIRYANI PULAV MASALA,100.0 g,0.0,12.4,2.0,25.0,0.0,1.0,640.0,0.0,True,Lunch
BROWN RICE BIRYANI,125.0 g,144.0,3.2,3.6,24.0,1.6,2.4,384.0,4.0,True,Lunch
"CHICKEN BIRYANI, CHICKEN",283.0 GRM,170.0,14.8,5.3,15.9,1.77,1.8,159.0,44.0,True,Lunch
"DEEP, BIRYANI PASTE",16.0 g,625.0,12.5,43.8,43.8,0.0,12.5,3000.0,0.0,True,Lunch
"CHICKEN BIRYANI SEASONING MIX FOR CHICKEN AND BASMATI RICE, CHICKEN BIRYANI",5.0 g,300.0,0.0,0.0,60.0,0.0,0.0,8800.0,0.0,True,Lunch
BIRYANI MASALA NATURAL SPICES,2.0 GRM,250.0,25.0,0.0,50.0,0.0,50.0,0.0,0.0,True,Lunch
BIRYANI MASALA NATURAL SPICES,2.0 g,250.0,25.0,0.0,50.0,0.0,50.0,0.0,0.0,True,Lunch
"MEDIUM CHICKEN BIRYANI, MEDIUM",283.0 g,145.0,6.36,6.71,15.2,1.41,0.7,184.0,12.0,True,Lunch
"MEDIUM VEGETABLE BIRYANI, MEDIUM",132.5 g,143.0,3.02,3.77,24.2,3.77,6.8,438.0,0.0,True,Lunch
"TANDOOR CHEF, CHICKEN BIRYANI",283.0 GRM,170.0,12.0,5.3,18.0,0.0,0.0,286.0,41.0,True,Lunch
ZAFRANI BOMBAY BIRYANI MASALA,8.0 g,375.0,12.5,18.8,50.0,0.0,25.0,10600.0,0.0,True,Lunch
"VEG BIRYANI VEGETABLES SAUTED WITH ONIONS AND COOKED WITH BASMATI RICE, VEG BIRYANI",132.5 g,158.0,3.02,6.04,22.6,0.0,0.4,513.0,4.0,True,Lunch
"VEGETABLE BIRYANI STYLE ORGANIC RICE & QUINOA BOWL, VEGETABLE BIRYANI STYLE",255.0 g,161.0,4.31,3.92,26.3,1.96,4.3,110.0,0.0,True,Lunch
"CHICKEN KABAB BIRYANI, CHICKEN KABAB",142.0 GRM,162.0,7.04,7.04,17.6,1.41,0.7,215.0,18.0,True,Lunch
DELHI PULAO BIRYANI SPICE MIX,7.0 g,500.0,14.3,21.4,57.1,0.0,28.6,11400.0,0.0,True,Lunch
"HALDIRAM'S, MINUTE KHANA HYDERABADI BIRYANI",100.0 g,200.0,3.0,9.0,28.0,0.0,3.0,550.0,5.0,True,Lunch
"KITCHENS OF INDIA, KASHMIRI VEGETABLE BIRYANI",140.0 g,207.0,3.57,8.57,27.9,1.43,0.7,629.0,11.0,True,Lunch
PREMIUM CHICKEN BIRYANI WITH BASMATI RICE,142.0 g,180.0,9.15,9.15,16.2,0.7,0.7,461.0,20.0,True,Lunch
"SHAH'S, BIRYANI MASALA (MIXED SPICES)",70.0 g,374.0,14.3,14.3,47.1,0.0,0.0,86.0,0.0,True,Lunch
SINDHI BIRYANI MASALA SPICE MIX,8.0 g,375.0,12.5,12.5,50.0,0.0,25.0,7500.0,0.0,True,Lunch
"VEGETABLE BIRYANI WITH BASMATI RICE, VEGETABLE",283.0 g,163.0,3.53,6.01,23.7,2.47,2.1,230.0,0.0,True,Lunch
"SPECIAL BOMBAY BIRYANI SEASONING MIX FOR MEAT & POTATO LAYERED PILAF, SPECIAL BOMBAY BIRYANI",10.0 GRM,300.0,10.0,10.0,40.0,0.0,0.0,13200.0,0.0,True,Lunch
"MOSUL KUBBA CHICKEN BIRYANI, 10 OZ",283.0 GRM,170.0,14.8,5.3,15.9,1.77,1.8,159.0,44.0,True,Lunch
"MILD ONE POT BIRYANI RICE KIT, MILD",82.0 g,305.0,6.1,0.0,58.5,4.88,3.7,232.0,0.0,True,Lunch
"CHICKEN BIRYANI WITH BASMATI RICE A CLASSIC HYDERABADI INSPIRED RECIPE WITH TENDER DARK MEAT CHICKEN AND CARAMELIZED ONIONS, CHICKEN BIRYANI",283.0 GRM,141.0,6.71,4.59,19.1,1.41,0.4,223.0,18.0,True,Breakfast
"CHICKEN BIRYANI WITH BASMATI RICE A CLASSIC HYDERABADI INSPIRED RECIPE WITH TENDER DARK MEAT CHICKEN AND CARAMELIZED ONIONS, CHICKEN BIRYANI",215.0 g,130.0,6.51,3.26,19.1,0.47,0.9,242.0,16.0,True,Breakfast
"TANGY INDIAN SPICED FLAVOR, CREAMY, MILDLY SPICY, 5 KINDS OF HEALTHY VEGETABLES BIRYANI RICE, TANGY INDIAN SPICED",240.0 GRM,158.0,2.92,8.75,20.0,3.33,2.5,429.0,8.0,True,Lunch
CHICKEN BIRIYANI WITH BASMATI RICE,340.0 g,117.0,8.24,2.65,15.0,1.47,0.6,191.0,26.0,True,Lunch
"Butter, Clarified butter (ghee)",Not specified,900.0,0.0,100.0,0.0,0.0,0.0,0.0,300.0,True,Breakfast
"Butter, salted",Not specified,3000.0,0.85,81.1,0.06,0.06,0.0,643.0,215.0,True,Breakfast
"Croissants, butter",Not specified,406.0,8.2,21.0,45.8,11.3,2.6,384.0,67.0,True,Breakfast
Chicken spread,Not specified,158.0,18.0,17.6,4.05,0.47,0.3,722.0,56.0,True,Unspecified
"Chicken, meatless",Not specified,936.0,23.6,12.7,3.64,0.0,3.6,709.0,0.0,True,Unspecified
"Fat, chicken",Not specified,3770.0,0.0,99.8,0.0,0.0,0.0,0.0,85.0,True,Unspecified
"Frankfurter, chicken",Not specified,223.0,15.5,16.2,2.74,2.98,0.0,1030.0,96.0,True,Unspecified
"Fast foods, chicken tenders",Not specified,271.0,19.2,14.0,17.2,0.4,1.2,769.0,48.0,True,Unhealthy
"Almond butter, creamy",Not specified,0.0,20.8,53.0,21.2,0.0,9.72,0.996,0.0,True,Breakfast
"Butter oil, anhydrous",Not specified,3660.0,0.28,99.5,0.0,0.0,0.0,2.0,256.0,True,Breakfast
"Butter, stick, salted",Not specified,0.0,0.0,82.2,0.0,0.0,0.0,524.0,235.0,True,Breakfast
"Butter, stick, unsalted",Not specified,0.0,0.0,81.5,0.0,0.0,0.0,10.0,234.0,True,Breakfast
"Butter, whipped, with salt",Not specified,3060.0,0.49,78.3,0.0,0.06,0.0,583.0,225.0,True,Breakfast
"Butter, without salt",Not specified,3000.0,0.85,81.1,0.06,0.06,0.0,11.0,215.0,True,Breakfast
"Fruit butters, apple",Not specified,724.0,0.39,0.3,42.5,35.3,1.5,15.0,0.0,True,Breakfast
"Oil, cocoa butter",Not specified,3700.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,True,Breakfast
"Oil, nutmeg butter",Not specified,3700.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,True,Breakfast
"Oil, ucuhuba butter",Not specified,3700.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,True,Breakfast
"Peanut butter, creamy",Not specified,0.0,24.0,49.4,22.7,0.0,6.32,221.0,0.0,True,Breakfast
"Sesame butter, creamy",Not specified,0.0,19.7,62.4,14.2,0.0,8.37,63.6,0.0,True,Breakfast
"Margarine-like, margarine-butter blend, soybean oil and butter",Not specified,3040.0,0.31,80.3,0.77,0.0,0.0,719.0,12.0,True,Breakfast
"Bologna, chicken, pork",Not specified,336.0,10.3,30.6,4.19,0.0,0.0,1240.0,87.0,True,Unspecified
"Bratwurst, chicken, cooked",Not specified,738.0,19.4,10.4,0.0,0.0,0.0,72.0,71.0,True,Unspecified
"Chicken, canned, no broth",Not specified,772.0,25.3,8.1,0.9,0.0,0.0,482.0,50.0,True,Snack
"Chicken, feet, boiled",Not specified,215.0,19.4,14.6,0.2,0.0,0.0,67.0,84.0,True,Unspecified
"Chicken, ground, raw",Not specified,598.0,17.4,8.1,0.04,0.0,0.0,60.0,86.0,True,Unspecified
"DENNY'S, chicken strips",Not specified,1240.0,19.2,14.5,22.0,0.29,1.1,798.0,44.0,True,Unspecified
"Gravy, CAMPBELL'S, chicken",Not specified,215.0,0.79,2.73,5.87,0.94,0.0,424.0,6.0,True,Unspecified
"Gravy, chicken, dry",Not specified,381.0,11.3,9.73,62.1,0.0,0.0,4150.0,19.0,True,Unspecified
"KFC, Popcorn Chicken",Not specified,351.0,17.7,21.7,21.2,0.0,1.0,1140.0,40.0,True,Snack
"McDONALD'S, Chicken McNUGGETS",Not specified,302.0,15.8,19.8,15.1,0.08,0.0,566.0,44.0,True,Unspecified
"WENDY'S, Chicken Nuggets",Not specified,1360.0,16.5,22.6,14.3,0.08,0.0,708.0,50.0,True,Unspecified
"Butter, light, stick, with salt",Not specified,2090.0,3.3,55.1,0.0,0.0,0.0,450.0,106.0,True,Breakfast
"Peanut butter, reduced sodium",Not specified,590.0,24.0,49.9,21.8,9.29,6.6,203.0,0.0,True,Breakfast
"Seeds, sesame butter, paste",Not specified,2450.0,18.1,50.9,24.0,0.0,5.5,12.0,0.0,True,Breakfast
"APPLEBEE'S, chicken tenders platter",Not specified,1240.0,19.6,16.2,18.0,0.36,1.0,740.0,52.0,True,Unhealthy
"Babyfood, dinner, chicken and rice",Not specified,51.0,1.6,0.9,9.2,0.55,1.1,25.0,10.0,True,Lunch
"Babyfood, meat, chicken, junior",Not specified,612.0,14.0,9.6,0.0,0.0,0.0,49.0,59.0,True,Unspecified
"Babyfood, meat, chicken, strained",Not specified,545.0,13.7,7.9,0.1,0.0,0.0,49.0,61.0,True,Unspecified
"Bologna, chicken, pork, beef",Not specified,1140.0,11.3,22.7,5.61,0.0,0.0,1120.0,83.0,True,Unspecified
"Bologna, chicken, turkey, pork",Not specified,298.0,9.88,26.2,5.65,0.0,0.0,922.0,80.0,True,Unspecified
"BURGER KING, Chicken Strips",Not specified,292.0,18.2,15.2,20.5,0.0,1.3,859.0,44.0,True,Lunch
"CHICK-FIL-A, chicken sandwich",Not specified,1040.0,16.3,11.2,20.9,3.64,1.4,753.0,35.0,True,Lunch
"Chicken patty, frozen, cooked",Not specified,1200.0,14.8,19.6,12.8,0.0,0.3,532.0,43.0,True,Unspecified
"Chicken patty, frozen, uncooked",Not specified,292.0,14.3,20.0,13.6,0.0,1.2,518.0,45.0,True,Unspecified
"Chicken, capons, giblets, raw",Not specified,130.0,18.3,5.18,1.42,0.0,0.0,77.0,292.0,True,Unspecified
"Chicken, ground, with additives, raw",Not specified,0.0,17.9,7.16,0.0,0.0,0.0,63.0,81.7,True,Unspecified
"Chicken, meatless, breaded, fried",Not specified,234.0,21.3,12.8,8.51,0.0,4.3,400.0,0.0,True,Breakfast
"Chicken, roasting, giblets, raw",Not specified,127.0,18.1,5.04,1.14,0.0,0.0,77.0,236.0,True,Dinner
"Chicken, stewing, giblets, raw",Not specified,168.0,17.9,9.21,2.13,0.0,0.0,77.0,240.0,True,Lunch
CHICKEN TIKKA MASALA,140.0 g,164.0,13.6,10.0,3.57,1.43,0.0,564.0,64.0,True,Dinner
CHICKEN TIKKA MASALA,312.0 g,115.0,6.09,2.88,16.4,2.56,1.9,276.0,14.0,True,Dinner
CHICKEN TIKKA MASALA,241.0 g,108.0,6.22,5.81,7.88,1.24,2.5,282.0,21.0,True,Dinner
CHICKEN TIKKA MASALA,298.0 g,107.0,6.38,1.68,16.4,2.68,2.0,178.0,12.0,True,Dinner
CHICKEN TIKKA MASALA,283.0 g,134.0,7.07,6.01,13.1,2.47,1.1,223.0,28.0,True,Dinner
CHICKEN TIKKA MASALA,140.0 g,150.0,10.0,6.43,13.6,1.43,0.7,286.0,25.0,True,Dinner
"CHICKEN TIKKA MASALA CROWNS, CHICKEN TIKKA MASALA",75.0 g,280.0,5.33,18.7,22.7,2.67,1.3,293.0,53.0,True,Dinner
"CHICKEN TIKKA MASALA KIT, CHICKEN TIKKA MASALA",84.0 g,238.0,5.95,0.6,52.4,10.7,4.8,548.0,0.0,True,Dinner
"CHICKEN TIKKA MASALA NAANWICH, CHICKEN TIKKA MASALA",147.0 g,204.0,11.6,5.44,29.2,4.08,0.7,415.0,27.0,True,Dinner
TIKKA MASALA CHICKEN,350.0 g,114.0,6.86,1.71,18.9,2.86,1.1,149.0,16.0,True,Dinner
"CHICKEN TIKKA MASALA WITH BASMATI RICE, CHICKEN TIKKA MASALA",283.0 g,106.0,6.01,3.18,13.8,1.77,0.4,244.0,12.0,True,Lunch
"CHICKEN TIKKA MASALA WITH BASMATI RICE, CHICKEN TIKKA MASALA",350.0 g,106.0,6.57,3.14,13.1,1.14,0.9,134.0,16.0,True,Lunch
"CHICKEN TIKKA MASALA WITH TURMERIC RICE, CHICKEN TIKKA MASALA",340.0 g,135.0,8.24,5.0,13.8,1.47,0.9,312.0,34.0,True,Lunch
"CHICKEN TIKKA MASALA POUCHES, CHICKEN TIKKA",113.0 g,257.0,13.3,14.2,19.5,1.77,1.8,584.0,49.0,True,Dinner
"CHICKEN TIKKA MASALA SOUP, CHICKEN TIKKA",245.0 g,98.0,3.67,5.71,8.57,2.45,1.6,433.0,12.0,True,Lunch
"CHICKEN TIKKA MASALA, CHICKEN",335.0 g,93.0,7.16,1.79,11.6,0.9,0.9,146.0,21.0,True,Dinner
"CHICKEN TIKKA MASALA, CHICKEN",255.0 GRM,106.0,7.06,1.96,14.9,1.57,2.0,176.0,14.0,True,Dinner
"CHICKEN TIKKA MASALA, CHICKEN",135.0 GRM,141.0,12.6,7.41,3.7,1.48,0.0,281.0,48.0,True,Dinner
"CHICKEN TIKKA MASALA, CHICKEN",283.0 g,110.0,6.01,3.18,14.1,0.71,0.7,106.0,11.0,True,Dinner
"CHICKEN TIKKA MASALA, CHICKEN",198.0 g,121.0,4.55,4.04,16.2,1.52,1.0,359.0,8.0,True,Dinner
"CHICKEN TIKKA MASALA, CHICKEN",227.0 GRM,128.0,6.17,4.41,15.9,1.76,0.9,101.0,18.0,True,Dinner
"CHICKEN TIKKA MASALA, CHICKEN",255.0 g,141.0,9.8,5.49,13.3,0.39,0.0,208.0,27.0,True,Dinner
"CHICKEN TIKKA MASALA, CHICKEN",269.0 GRM,119.0,4.46,4.09,16.0,1.49,1.1,361.0,7.0,True,Dinner
"CHICKEN TIKKA MASALA, CHICKEN",135.0 GRM,170.0,13.3,10.4,4.44,2.22,0.7,415.0,70.0,True,Dinner
"CHICKEN TIKKA MASALA, CHICKEN",340.0 g,138.0,7.35,10.3,5.88,2.35,1.2,174.0,35.0,True,Dinner
"CHICKEN TIKKA MASALA, CHICKEN",140.0 GRM,171.0,17.1,9.29,4.29,1.43,0.0,521.0,68.0,True,Dinner
"CHICKEN TIKKA MASALA, CHICKEN",140.0 GRM,143.0,13.6,7.86,5.0,2.14,1.4,586.0,46.0,True,Dinner
"CHICKEN TIKKA MASALA GOURMET SEASONING KIT, CHICKEN TIKKA MASALA",5.300000190734863 g,189.0,0.0,0.0,37.7,0.0,18.9,12100.0,0.0,True,Dinner
"CHICKEN TIKKA MASALA MILD SEASONING MIX, CHICKEN TIKKA MASALA",5.0 g,300.0,0.0,0.0,60.0,0.0,0.0,4600.0,0.0,True,Dinner
"CHICKEN TIKKA MASALA WITH AROMATIC BASMATI RICE, CHICKEN TIKKA MASALA",340.0 g,138.0,11.2,3.53,14.7,0.88,0.3,324.0,37.0,True,Lunch
"CHICKEN TIKKA MASALA SOUP WITH WHITE MEAT CHICKEN, CHICKEN TIKKA MASALA",454.0 g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Lunch
"TIKKA MASALA SAUCE, TIKKA MASALA",125.0 ml,88.0,1.6,5.6,8.0,3.2,0.0,392.0,0.0,True,Dinner
"TIKKA MASALA SAUCE, TIKKA MASALA",51.0 GRM,137.0,1.96,9.8,11.8,3.92,0.0,392.0,10.0,True,Dinner
"TIKKA MASALA, TIKKA",125.0 g,80.0,1.6,4.0,11.2,8.8,0.8,760.0,4.0,True,Dinner
CHICKEN TIKKA MASALA NAANWICH,147.0 GRM,218.0,10.2,6.12,31.3,4.76,2.7,340.0,20.0,True,Dinner
