item_name,serving_size,calories_(kcal),protein_(g),total_fat_(g),carbohydrates_(g),sugar_(g),fiber_(g),sodium_(mg),cholesterol_(mg),pakistani,meal_type
"DEEP INDIAN KITCHEN SPINACH PANEER, 10 OZ",283.0 GRM,141.0,6.01,7.42,13.4,0.35,1.8,269.0,9.0,True,Lunch
"SHAHI PANEER, MILD TOMATO GRAVY WITH COTTAGE CHEESE",150.0 g,141.0,5.33,8.0,12.0,1.33,1.3,508.0,0.0,True,Breakfast
"WHOLE PLANET, CAFE SPICE, SAAG PANEER WITH SAFFRON RICE",227.0 g,75.0,2.2,1.76,13.2,0.44,1.3,233.0,0.0,True,Lunch
AUTHENTIC INDIAN SPINACH WITH COTTAGE CHEESE AND SAUCE PALAK PANEER,125.0 GRM,136.0,4.0,10.4,6.4,2.4,2.4,504.0,16.0,True,Breakfast
"SPINACH AND PANEER CHEESE WITH MILD SPICES OVER A BED OF BASMATI RICE, MEDIUM",283.0 g,127.0,4.24,5.65,14.8,1.41,1.1,155.0,12.0,True,Breakfast
"INDIAN JAIPUR VEGETABLES & PANEER CHEESE SIMMERED WITH SPICES & CASHEWS, INDIAN JAIPUR VEGETABLES",140.0 GRM,107.0,3.57,7.14,8.57,2.14,1.4,350.0,7.0,True,Breakfast
"MILD INDIAN KASHMIR SPINACH SAUTEED SPINACH SIMMERED WITH PANEER CHEESE, INDIAN KASHMIR SPINACH",140.0 GRM,79.0,4.29,5.0,4.29,1.43,2.1,329.0,11.0,True,Breakfast
"MEDIUM SPICE PANEER TIKKA MASALA CHEESE CREAMY SAUCE CUMIN BASMATI RICE, MEDIUM SPICE",255.0 g,153.0,6.27,7.45,16.1,1.96,1.2,227.0,12.0,True,Breakfast
"INDIAN STYLE CHEESE & SPINACH CURRY, INDIAN STYLE CHEESE & SPINACH",330.0 g,118.0,5.15,8.48,6.36,1.52,1.8,179.0,2.0,True,Breakfast
MUGHLAI KOFTA CURRY WITH PEAS PULAO,350.0 g,161.0,3.43,4.57,26.6,5.43,1.7,606.0,2.0,True,Lunch
MILK,236.0 ml,55.0,3.39,2.12,5.08,5.08,0.0,55.0,8.0,True,Breakfast
MILK,240.0 ml,62.0,3.33,3.33,5.0,4.58,0.0,50.0,15.0,True,Breakfast
MILK,240.0 ml,46.0,3.33,1.04,5.42,5.0,0.0,54.0,4.0,True,Breakfast
MILK,240.0 ml,38.0,3.33,0.0,5.42,5.0,0.0,54.0,2.0,True,Breakfast
MILK,240.0 ml,67.0,3.75,3.33,5.42,5.0,0.0,56.0,15.0,True,Breakfast
MILK,240.0 MLT,62.0,3.33,3.33,5.42,5.0,0.0,52.0,15.0,True,Breakfast
MILK,240.0 ml,62.0,3.33,3.33,5.42,5.0,0.0,52.0,15.0,True,Breakfast
MILK,355.0 ml,51.0,3.38,1.97,5.07,5.07,0.0,48.0,8.0,True,Breakfast
MILK,240.0 ml,62.0,3.75,3.33,4.58,4.58,0.0,46.0,15.0,True,Breakfast
MILK,240.0 MLT,67.0,3.75,3.33,5.42,5.0,0.0,56.0,15.0,True,Breakfast
MILK,240.0 ml,71.0,3.33,3.75,5.42,5.0,0.0,58.0,15.0,True,Breakfast
MILK,414.0 ml,63.0,3.38,3.38,4.59,4.59,0.0,51.0,14.0,True,Breakfast
MILK,240.0 ml,54.0,4.17,2.08,5.42,5.42,0.0,54.0,10.0,True,Breakfast
MILK,240.0 MLT,62.0,3.33,3.33,5.0,5.0,0.0,52.0,15.0,True,Breakfast
MILK,240.0 ml,67.0,3.33,3.75,5.42,5.0,0.0,54.0,15.0,True,Breakfast
MILK,240.0 ml,62.0,3.33,3.33,4.58,4.58,0.0,48.0,12.0,True,Breakfast
MILK,240.0 ml,42.0,3.33,1.04,5.0,4.58,0.0,50.0,4.0,True,Breakfast
MILK,236.0 ml,64.0,3.39,3.39,4.66,4.66,0.0,49.0,15.0,True,Breakfast
MILK,240.0 ml,92.0,3.33,3.75,11.2,10.8,0.4,79.0,15.0,True,Breakfast
MILK,240.0 ml,62.0,3.33,3.33,5.0,5.0,0.0,52.0,15.0,True,Breakfast
MILK,240.0 MLT,71.0,3.33,3.75,5.42,5.0,0.0,58.0,15.0,True,Breakfast
MILK,240.0 ml,67.0,3.33,3.33,5.42,5.0,0.0,52.0,15.0,True,Breakfast
MILK,240.0 MLT,67.0,3.33,3.75,5.42,5.0,0.0,52.0,15.0,True,Breakfast
MILK,236.0 ml,51.0,4.24,1.06,6.36,6.36,0.0,68.0,6.0,True,Breakfast
MILK,240.0 ml,62.0,3.33,3.33,5.0,5.0,0.0,44.0,10.0,True,Breakfast
MILK,30.0 ml,133.0,3.33,11.7,3.33,3.33,0.0,33.0,33.0,True,Breakfast
MILK,23.0 g,348.0,34.8,0.0,52.2,52.2,0.0,543.0,22.0,True,Breakfast
YOGURT,227.0 GRM,62.0,3.52,3.52,4.41,3.08,0.0,48.0,15.0,True,Breakfast
YOGURT,170.0 ml,94.0,2.94,2.94,15.9,15.9,0.0,41.0,12.0,True,Breakfast
CHEESE,30.0 GRM,367.0,16.7,33.3,3.33,0.0,0.0,600.0,100.0,True,Breakfast
CHEESE,28.0 g,321.0,14.3,21.4,14.3,10.7,0.0,643.0,71.0,True,Breakfast
CHEESE,5.0 g,500.0,60.0,40.0,40.0,0.0,0.0,2000.0,100.0,True,Breakfast
CHEESE,28.399999618530273 g,331.0,21.1,24.6,2.46,0.0,0.0,599.0,53.0,True,Breakfast
CHEESE,28.0 g,393.0,32.1,28.6,3.57,0.0,0.0,714.0,89.0,True,Breakfast
CHEESE,28.0 g,429.0,25.0,35.7,0.0,0.0,0.0,304.0,107.0,True,Breakfast
CHEESE,28.0 g,357.0,21.4,28.6,0.0,0.0,0.0,893.0,107.0,True,Breakfast
CHEESE,28.0 g,393.0,25.0,32.1,3.57,0.0,0.0,643.0,107.0,True,Breakfast
CHEESE,5.0 g,400.0,20.0,30.0,0.0,0.0,0.0,600.0,100.0,True,Breakfast
CHEESE,30.0 g,317.0,23.3,23.3,10.0,0.0,0.0,1300.0,67.0,True,Breakfast
CHEESE,28.0 g,250.0,17.9,32.1,0.0,0.0,0.0,571.0,107.0,True,Breakfast
CHEESE,28.0 g,393.0,28.6,32.1,0.0,0.0,0.0,643.0,107.0,True,Breakfast
CHEESE,149.0 MG,221.0,10.7,9.4,24.8,2.68,1.3,636.0,31.0,True,Breakfast
CHEESE,14.0 g,714.0,0.0,78.6,0.0,0.0,0.0,0.0,214.0,True,Breakfast
CHEESE,28.0 g,393.0,25.0,32.1,0.0,0.0,0.0,607.0,107.0,True,Breakfast
CHEESE,28.0 g,286.0,17.9,21.4,0.0,0.0,0.0,964.0,54.0,True,Breakfast
CHEESE,58.0 g,362.0,5.17,15.5,50.0,19.0,1.7,181.0,34.0,True,Breakfast
CHEESE,28.0 g,393.0,28.6,32.1,0.0,0.0,0.0,607.0,89.0,True,Breakfast
CHEESE,28.0 g,393.0,28.6,32.1,0.0,0.0,0.0,161.0,89.0,True,Breakfast
CHEESE,28.0 g,250.0,17.9,21.4,3.57,3.57,0.0,1290.0,54.0,True,Breakfast
CHEESE,28.0 g,393.0,21.4,32.1,0.0,0.0,0.0,786.0,89.0,True,Breakfast
CHEESE,28.0 g,393.0,21.4,32.1,7.14,0.0,0.0,643.0,89.0,True,Breakfast
CHEESE,91.0 GRM,308.0,11.0,12.1,37.4,3.3,1.1,527.0,22.0,True,Breakfast
CHEESE,28.0 g,393.0,25.0,32.1,3.57,0.0,0.0,454.0,96.0,True,Breakfast
CHEESE,28.0 g,250.0,21.4,17.9,0.0,0.0,0.0,786.0,54.0,True,Breakfast
CHEESE,169.0 GRM,237.0,8.88,10.6,24.8,4.73,1.2,361.0,18.0,True,Breakfast
BUTTERMILK,240.0 ml,42.0,3.33,0.42,5.42,5.0,0.0,171.0,4.0,True,Breakfast
BUTTERMILK,240.0 ml,62.0,3.33,3.33,5.0,5.0,0.0,50.0,12.0,True,Breakfast
BUTTERMILK,240.0 ml,52.0,3.33,0.0,4.58,4.58,0.0,117.0,2.0,True,Breakfast
BUTTERMILK,240.0 ml,50.0,3.75,1.46,5.42,5.42,0.0,121.0,8.0,True,Breakfast
BUTTERMILK,240.0 ml,67.0,3.33,3.75,5.42,5.0,0.0,129.0,12.0,True,Breakfast
BUTTERMILK,62.0 g,355.0,9.68,4.03,0.0,11.3,1.6,0.0,0.0,True,Breakfast
BUTTERMILK,244.0 ml,66.0,4.51,3.28,5.33,0.0,0.0,86.0,14.0,True,Breakfast
BUTTERMILK,240.0 ml,54.0,3.75,2.08,5.0,5.0,0.0,54.0,6.0,True,Breakfast
"KROGER, BUTTERMILK WAFFLES, BUTTERMILK, BUTTERMILK",70.0 g,257.0,5.71,8.57,37.1,2.86,1.4,600.0,7.0,True,Breakfast
"BUTTERMILK BISCUIT, BUTTERMILK",64.0 g,297.0,6.25,10.9,45.3,4.69,1.6,875.0,0.0,True,Breakfast
"BUTTERMILK BISCUIT, BUTTERMILK",34.0 g,294.0,5.88,8.82,44.1,8.82,2.9,794.0,0.0,True,Breakfast
"BUTTERMILK BISCUITS, BUTTERMILK",55.0 g,273.0,7.27,7.27,41.8,5.45,1.8,964.0,9.0,True,Breakfast
"BUTTERMILK BISCUITS, BUTTERMILK",43.0 GRM,233.0,6.98,2.33,48.8,6.98,2.3,860.0,0.0,True,Breakfast
"BUTTERMILK BISCUITS, BUTTERMILK",57.0 g,319.0,5.26,15.8,31.6,3.51,1.8,893.0,0.0,True,Breakfast
"BUTTERMILK BISCUITS, BUTTERMILK",62.0 g,306.0,6.45,14.5,37.1,3.23,1.6,1230.0,0.0,True,Breakfast
"BUTTERMILK BISCUITS, BUTTERMILK",142.0 GRM,289.0,5.63,13.4,36.6,1.41,1.4,479.0,35.0,True,Breakfast
"BUTTERMILK BISCUITS, BUTTERMILK",62.0 g,323.0,4.84,17.7,35.5,3.23,1.6,742.0,0.0,True,Breakfast
"BUTTERMILK BISCUITS, BUTTERMILK",56.0 g,304.0,7.14,12.5,39.3,5.36,1.8,875.0,36.0,True,Breakfast
"BUTTERMILK BISCUITS, BUTTERMILK",59.0 g,288.0,5.08,13.6,39.0,3.39,1.7,881.0,0.0,True,Breakfast
"CUMIN GOUDA CHEESE, CUMIN GOUDA",30.0 g,383.0,23.3,30.0,3.33,0.0,0.0,500.0,103.0,True,Breakfast
"CUMIN CURRY SALAD DRESSING & MARINADE, CUMIN-CURRY",32.0 g,281.0,0.0,31.2,6.25,3.12,3.1,469.0,0.0,True,Lunch
"CUMIN GOUDA TRUE FARMSTEAD CHEESE, CUMIN GOUDA",28.0 g,446.0,28.6,3.57,0.0,0.0,0.0,821.0,143.0,True,Breakfast
"TURMERIC + CUMIN ORGANIC SUREKHA RICE, TURMERIC + CUMIN",148.0 g,189.0,3.38,4.05,34.5,0.0,0.7,196.0,0.0,True,Lunch
"CUMIN LIME FRAGRANT AND ZESTY PICKLE CHIPS, CUMIN LIME",28.0 GRM,36.0,0.0,0.0,3.57,3.57,0.0,786.0,0.0,True,Unhealthy
"BUTTERNUT SQUASH WITH CUMIN EXTRAORDINARY GOOD SOUP, BUTTERNUT SQUASH WITH CUMIN",227.0 g,48.0,0.44,3.08,5.29,1.76,0.4,115.0,7.0,True,Breakfast
"SLICED STEWED TOMATOES WITH PEPPERS, CELERY & CUMIN, PEPPERS, CELERY & CUMIN",123.0 g,24.0,0.81,0.0,5.69,4.88,0.8,203.0,0.0,True,Lunch
GROUND GEERA ROASTED (CUMIN),10.0 g,375.0,18.0,22.0,0.0,2.0,0.0,0.0,0.0,True,Dinner
"BLACK LENTIL + TOMATO + CUMIN ORGANIC DAL, BLACK LENTIL + TOMATO + CUMIN",142.0 GRM,113.0,3.52,4.93,14.8,4.93,2.1,246.0,0.0,True,Lunch
"CAMPBELL'S, CONDENSED SOUP, BLACK BEAN CUMIN & CILANTRO, BLACK BEAN CUMIN & CILANTRO",120.0 ml,67.0,2.5,0.0,13.3,1.67,2.5,717.0,0.0,True,Lunch
"SHY BROTHERS FARM, CLOUMAGE, CREAMY FRESH CHEESE, ROSEMARY + CUMIN, ROSEMARY + CUMIN",29.0 g,69.0,3.45,3.45,3.45,0.0,0.0,379.0,17.0,True,Breakfast
"BUTTERFLY, CORIANDER POWDER",100.0 g,25.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,True,Breakfast
"KERALA CURRY, CORIANDER CHUTNEY",6.0 g,167.0,0.0,0.0,16.7,16.7,0.0,2080.0,0.0,True,Lunch
"GREEN GARBANZOS + CORN + CORIANDER EVERYDAY DAL, GREEN GARBANZOS + CORN + CORIANDER",142.0 GRM,106.0,3.52,4.93,12.0,1.41,2.8,225.0,0.0,True,Lunch
"TURMERIC ORGANIC RICE, TURMERIC",250.0 GRM,80.0,1.6,1.6,15.2,0.0,0.4,112.0,4.0,True,Lunch
"TURMERIC ORGANIC RICE, TURMERIC",150.0 g,200.0,4.67,3.33,39.3,0.0,0.7,240.0,0.0,True,Lunch
"TURMERIC PASTA, ROTINI, TURMERIC",56.0 g,357.0,14.3,1.79,73.2,1.79,5.4,0.0,0.0,True,Lunch
"TURMERIC SORGHUM PUFFS, TURMERIC",28.0 g,500.0,7.14,25.0,57.1,3.57,3.6,607.0,0.0,True,Unhealthy
"ORGANIC TURMERIC BROWN RICE, TURMERIC",108.0 g,148.0,2.78,1.39,30.6,0.0,2.8,74.0,0.0,True,Lunch
"SUNFLOWER TURMERIC ROLLS, SUNFLOWER TURMERIC",57.0 g,298.0,8.77,5.26,56.1,3.51,1.8,614.0,0.0,True,Unhealthy
"TURMERIC CAULIFLOWER SOUP, TURMERIC CAULIFLOWER",19.0 g,368.0,10.5,0.0,73.7,10.5,10.5,1050.0,0.0,True,Lunch
"TURMERIC GHEE CLARIFIED BUTTER, TURMERIC",13.0 g,923.0,0.0,100.0,0.0,0.0,0.0,0.0,308.0,True,Breakfast
ROASTED GARLIC CLOVES,30.0 g,200.0,6.67,3.33,33.3,0.0,3.3,217.0,0.0,True,Dinner
"BASMATI RICE SEASONED WITH CLOVES & CARDAMOM, BASMATI SEASONED WITH CLOVES & CARDAMOM",124.0 g,169.0,4.03,1.61,35.5,0.0,2.4,0.0,0.0,True,Lunch
"CINNAMON ORANGE & CLOVE HOT CHOCOLATE MIX, CINNAMON ORANGE & CLOVE",12.0 GRM,500.0,8.33,12.5,83.3,58.3,16.7,0.0,0.0,True,Unhealthy
"CINNAMON, ORANGE & CLOVE SPICED APPLE CIDER, CINNAMON, ORANGE & CLOVE",240.0 MLT,46.0,0.0,0.0,11.7,11.7,0.0,15.0,0.0,True,Lunch
"ICE CHIPS, CANDY CLOVE",2.0 g,250.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,True,Unhealthy
ITALIAN ROASTED GARLIC CLOVES,43.0 g,233.0,9.3,0.0,48.8,2.33,2.3,488.0,0.0,True,Dinner
"CINNAMON, LEMON, CHERRY, CLOVE, PEPPERMINT HAND SPUN RIBBON CANDY, CINNAMON, LEMON, CHERRY, CLOVE, PEPPERMINT",21.0 g,381.0,0.0,0.0,90.5,81.0,4.8,0.0,0.0,True,Unhealthy
"COLD-PRESSED SPICED APPLE CIDER WITH APPLE CINNAMON & CLOVE FRUIT JUICE DRINK, APPLE CINNAMON & CLOVE",240.0 ml,46.0,0.0,0.0,11.2,9.58,0.0,4.0,0.0,True,Lunch
"ORGANIC NUTRITION BAR, NUTS CINNA-CLOVE HONEY",45.0 g,511.0,13.3,37.8,37.8,22.2,6.7,167.0,0.0,True,Breakfast
"SPICE DROPS, PEPPERMINT, CLOVE, WINTERGREEN, CINNAMON, LICORICE, SPEARMINT",30.0 g,333.0,0.0,0.0,83.3,70.0,0.0,0.0,0.0,True,Lunch
"HONEY BOURBON WITH CLOVE, CHIPOTLE PEPPER & GARLIC MARINADE, HONEY BOURBON",15.0 ml,167.0,0.0,0.0,33.3,26.7,0.0,2800.0,0.0,True,Breakfast
"PASTA SAUCE WITH EXTRA VIRGIN OLIVE OIL, TOMATO CINNAMON & CLOVE",125.0 g,56.0,1.6,1.6,7.2,6.4,4.0,536.0,0.0,True,Lunch
"SPICE DROPS FLAVORED SUGAR SANDED JELLIES WITH PEPPERMINT, CLOVE, WINTERGREEN, CINNAMON, LICORICE AND SPEARMINT, SPICE DROPS, PEPPERMINT, CLOVE, WINTERGREEN, CINNAMON, LICORICE AND SPEARMINT",30.0 g,333.0,0.0,0.0,83.3,70.0,0.0,0.0,0.0,True,Lunch
"CINNAMON BREAD WITH CINNAMON BURSTS, CINNAMON",38.0 GRM,289.0,7.89,6.58,52.6,15.8,2.6,421.0,0.0,True,Breakfast
"CINNAMON ROLLS, CINNAMON",47.0 GRM,362.0,4.26,12.8,53.2,27.7,0.0,362.0,21.0,True,Unhealthy
"CARDAMOM CHAI BAR, CARDAMOM CHAI",40.0 g,500.0,22.5,37.5,27.5,7.5,15.0,188.0,0.0,True,Breakfast
"CARDAMOM INSTA CHAI PREMIX, CARDAMOM",22.0 GRM,409.0,9.09,6.82,45.4,27.3,0.0,136.0,0.0,True,Breakfast
"BLUEBERRY & CARDAMOM PROBIOTIC YOGURT, BLUEBERRY & CARDAMOM",15.0 g,867.0,73.3,30.0,73.3,60.0,6.7,333.0,100.0,True,Breakfast
"CARDAMOM PISTACHIO ICE CREAM, CARDAMOM PISTACHIO",84.0 g,190.0,9.52,11.9,11.9,9.52,2.4,48.0,48.0,True,Unhealthy
"CARDAMOM SNICKERDOODLE COOKIE MIX, CARDAMOM SNICKERDOODLE",30.0 g,367.0,6.67,0.0,83.3,46.7,0.0,333.0,0.0,True,Unhealthy
"ORANGE CARDAMOM ICE CREAM, ORANGE CARDAMOM",113.0 g,248.0,2.65,16.8,19.5,18.6,0.0,58.0,71.0,True,Unhealthy
"PUMPKIN CARDAMOM PASTA SAUCE, PUMPKIN CARDAMOM",118.0 g,102.0,0.85,5.93,11.9,7.63,1.7,398.0,4.0,True,Lunch
"TURKISH ROASTED AND GROUND WITH CARDAMOM COFFEE, CARDAMOM",5.0 GRM,300.0,20.0,10.0,60.0,0.0,40.0,0.0,0.0,True,Dinner
"CARDAMOM ORANGE BRIOCHE TREE ROLLS, CARDAMOM ORANGE",77.0 g,338.0,9.09,15.6,39.0,7.79,1.3,338.0,130.0,True,Unhealthy
"CARDAMOM ORGANIC LOW FAT ICE CREAM, CARDAMOM",87.0 g,103.0,8.05,2.3,19.5,8.05,8.0,52.0,69.0,True,Unhealthy
"CARDAMOM ORIGINAL GROUND ROASTED COFFEE, CARDAMOM ORIGINAL",5.0 GRM,420.0,20.0,14.0,64.0,0.0,0.0,20.0,0.0,True,Dinner
"DAD'S CARDAMOM ORGANIC ICE CREAM, DAD'S CARDAMOM",103.0 g,223.0,3.88,13.6,21.4,20.4,0.0,49.0,63.0,True,Unhealthy
"GREEN TEA CARDAMOM BAGS, GREEN TEA CARDAMOM",1.5 GRM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Breakfast
"INDIAN CARDAMOM PISTACHIO ICE CREAM, INDIAN CARDAMOM",129.0 g,271.0,4.65,17.8,24.0,22.5,0.8,50.0,74.0,True,Unhealthy
"QUICK CHAI CARDAMOM INSTANT CHAI LATTE, CARDAMOM",22.0 GRM,409.0,4.55,9.09,81.8,63.6,4.5,227.0,23.0,True,Breakfast
"VANILLA WITH CARDAMOM LASSI YOGURT SMOOTHIE, VANILLA WITH CARDAMOM",237.0 MLT,72.0,3.38,3.8,7.17,7.17,0.4,46.0,13.0,True,Breakfast
"JEM, SPROUTED ALMOND BUTTER, COCONUT CARDAMOM, COCONUT CARDAMOM",30.0 g,567.0,20.0,46.7,26.7,10.0,10.0,0.0,0.0,True,Breakfast
"PEACH BOURBON CARDAMOM FRUIT PRESERVES, PEACH BOURBON CARDAMOM",14.0 g,357.0,0.0,0.0,78.6,71.4,0.0,0.0,0.0,True,Snack
"RASPBERRY CARDAMOM ROSEHIP FRUIT SPREAD, RASPBERRY CARDAMOM ROSEHIP",17.0 GRM,194.0,0.0,0.0,47.1,40.6,3.5,0.0,0.0,True,Snack
"BLUEBERRY CARDAMOM COCONUTMILK NON-DAIRY FROZEN DESSERT, BLUEBERRY CARDAMOM",113.0 g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Breakfast
"SWEET CHAI MAPLE SYRUP INFUSED WITH CARDAMOM & GINGER, CARDAMOM & GINGER",30.0 ml,367.0,0.0,0.0,90.0,80.0,0.0,17.0,0.0,True,Breakfast
ORANGE HONEY CARDAMOM SORBETTO,85.0 g,106.0,0.0,0.0,27.1,25.9,0.0,0.0,0.0,True,Breakfast
"SORBETTO, ORANGE HONEY CARDAMOM",85.0 g,106.0,0.0,0.0,27.1,25.9,1.2,0.0,0.0,True,Breakfast
"TAMARIND SODA, TAMARIND",355.0 MLT,48.0,0.0,0.0,12.7,12.7,0.0,15.0,0.0,True,Unhealthy
"TAMARIND SODA, TAMARIND",591.0 MLT,47.0,0.0,0.0,12.9,12.7,0.0,15.0,0.0,True,Unhealthy
"TAMARIND SODA, TAMARIND",240.0 ml,38.0,0.0,0.0,9.17,9.17,0.0,19.0,0.0,True,Unhealthy
"TAMARIND SODA, TAMARIND",240.0 MLT,38.0,0.0,0.0,9.17,9.17,0.0,19.0,0.0,True,Unhealthy
"TAMARIND BURRITO ROLL, TAMARIND",40.0 GRM,300.0,0.0,0.0,77.5,72.5,0.0,750.0,0.0,True,Unhealthy
"TAMARIND FLAVOR CANDY, TAMARIND",20.0 g,0.0,0.0,0.0,90.0,80.0,0.0,1000.0,0.0,True,Unhealthy
"TAMARIND FLAVOR CANDY, TAMARIND",10.0 g,1300.0,0.0,0.0,90.0,80.0,0.0,160.0,0.0,True,Unhealthy
"TAMARIND FLAVOR SODA, TAMARIND",370.0 MLT,38.0,0.0,0.0,9.46,9.46,0.0,8.0,0.0,True,Unhealthy
"TAMARIND FLAVOR SODA, TAMARIND",524.0 ml,38.0,0.0,0.0,9.54,9.54,0.0,7.0,0.0,True,Unhealthy
"TAMARIND FLAVORED CANDY, TAMARIND",8.0 g,375.0,0.0,0.0,87.5,75.0,0.0,938.0,0.0,True,Unhealthy
"TAMARIND FLAVORED CANDY, TAMARIND",32.0 g,97.0,0.0,25.0,23.8,15.6,0.0,47.0,0.0,True,Unhealthy
"TAMARIND NAAN CHIPS, TAMARIND",28.0 GRM,429.0,10.7,16.1,67.9,3.57,7.1,929.0,0.0,True,Unhealthy
"TAMARIND SPICY CANDY, TAMARIND",30.0 IU,333.0,0.0,0.0,83.3,83.3,0.0,1100.0,0.0,True,Unhealthy
"TAMARIND SPOONS & CANDY, TAMARIND",26.0 g,385.0,0.77,0.0,373.0,324.0,4.8,2490.0,0.0,True,Unhealthy
"CASERA, SODA DRINK, TAMARIND, TAMARIND",240.0 ml,42.0,0.0,0.0,10.4,10.4,0.0,10.0,0.0,True,Unhealthy
"EL CHARRO, CANDY, TAMARIND, TAMARIND",25.0 g,260.0,0.0,0.0,64.0,36.0,0.0,1040.0,0.0,True,Unhealthy
"SURILETA, SOFT CANDY, TAMARIND, TAMARIND",15.0 g,380.0,0.0,0.0,90.0,70.0,0.0,620.0,0.0,True,Unhealthy
"TAMARIND BALL CANDY, TAMARIND BALL",28.0 GRM,393.0,0.0,0.0,100.0,78.6,3.6,18.0,0.0,True,Unhealthy
"TAMARIND ROLL CANDY WITH CHILI, TAMARIND",21.0 g,429.0,4.76,11.9,76.2,38.1,0.0,1050.0,0.0,True,Unhealthy
"TOPO SABORES, SODA, TAMARIND, TAMARIND",355.0 ml,39.0,0.0,0.0,10.1,10.1,0.0,6.0,0.0,True,Unhealthy
"BAY BLUE CHEESE, BAY BLUE",28.0 g,357.0,21.4,25.0,3.57,3.57,1.8,571.0,107.0,True,Breakfast
"CHEDDAR BAY BISCUITS, CHEDDAR BAY",55.0 GRM,273.0,5.45,12.7,34.6,1.82,0.0,909.0,9.0,True,Unhealthy
"KERALA COCONUT CURRY SPROUTED & SLODRY SPICY PILI NUTS WITH COCONUT & CURRY LEAVES, KERALA COCONUT CURRY",30.0 g,733.0,13.3,73.3,10.0,3.33,3.3,700.0,0.0,True,Lunch
"KERALA COCONUT CURRY SPROUTED & SLODRY SPICY PILI NUTS WITH COCONUT & CURRY LEAVES, KERALA COCONUT CURRY",30.0 GRM,733.0,13.3,73.3,10.0,3.33,3.3,700.0,0.0,True,Lunch
"PENANG CURRY A NUTTY, CREAMY AND MILD CURRY MADE WITH PEANUTS, LEMONGRASS AND KAFFIR LIME LEAVES COOKING SAUCE KIT, PENANG CURRY",90.0 GRM,200.0,5.56,16.7,6.67,2.22,2.2,311.0,0.0,True,Lunch
"CASHEW BUTTER, CASHEW",32.0 g,594.0,0.0,53.1,28.1,3.12,3.1,0.0,0.0,True,Breakfast
"CASHEW BUTTER, CASHEW",32.0 g,594.0,12.5,53.1,28.1,3.12,3.1,0.0,0.0,True,Breakfast
"CASHEW BUTTER, CASHEW",30.0 g,667.0,20.0,53.3,30.0,6.67,3.3,0.0,0.0,True,Breakfast
"CASHEW CHAI, CASHEW",296.0 MLT,54.0,1.35,3.38,4.39,3.04,0.0,25.0,0.0,True,Breakfast
"CASHEW ROCA BUTTERCRUNCH TOFFEE WITH CASHEWS, CASHEW",36.0 GRM,556.0,5.56,38.9,50.0,47.2,0.0,139.0,42.0,True,Breakfast
"CASHEW ROCA BUTTERCRUNCH TOFFEE WITH CASHEWS, CASHEW",36.0 g,556.0,5.56,38.9,50.0,47.2,0.0,139.0,42.0,True,Breakfast
"CASHEW MELTAWAY EGG, CASHEW",28.0 GRM,571.0,7.14,42.9,46.4,42.9,0.0,143.0,18.0,True,Breakfast
"CASHEW SHORTBREAD COOKIES, CASHEW",25.0 g,480.0,8.0,28.0,56.0,28.0,0.0,100.0,0.0,True,Breakfast
"MILK CHOCOLATE WITH CASHEW, CASHEW",31.0 g,548.0,9.68,32.3,54.8,48.4,3.2,194.0,16.0,True,Breakfast
"CASHEWS BUTTER ORGANIC COVERED CASHEWS, CASHEW BUTTER",28.0 g,643.0,7.14,50.0,39.3,14.3,0.0,214.0,0.0,True,Breakfast
"ORGANIC CASHEW BUTTER COVERED CASHEWS, CASHEW BUTTER",28.0 GRM,643.0,7.14,50.0,39.3,14.3,0.0,214.0,0.0,True,Breakfast
"BAOBAB CASHEW FRUIT , CASHEW FRUIT",355.0 ml,20.0,0.06,0.0,4.79,3.1,1.4,7.0,0.0,True,Snack
"CARAMEL CASHEW COOKIES, CARAMEL CASHEW",30.0 g,467.0,6.67,23.3,53.3,30.0,3.3,300.0,50.0,True,Unhealthy
"CARAMEL CASHEW POPCORN, CARAMEL CASHEW",30.0 g,467.0,6.67,15.0,73.3,43.3,3.3,317.0,0.0,True,Unhealthy
PEANUTS,28.0 g,607.0,25.0,42.9,28.6,3.57,14.3,375.0,0.0,True,Snack
PEANUTS,28.0 GRM,571.0,25.0,39.3,32.1,0.0,10.7,1390.0,0.0,True,Snack
PEANUTS,28.0 GRM,607.0,25.0,53.6,17.9,3.57,10.7,393.0,0.0,True,Snack
PEANUTS,32.0 g,312.0,12.5,6.25,40.6,6.25,6.2,297.0,0.0,True,Snack
PEANUTS,28.0 g,571.0,21.4,46.4,21.4,3.57,7.1,607.0,0.0,True,Snack
PEANUTS,28.0 g,571.0,25.0,42.9,25.0,3.57,10.7,750.0,0.0,True,Snack
PEANUTS,23.0 g,391.0,0.0,2.17,87.0,39.1,0.0,43.0,0.0,True,Snack
PEANUTS,30.0 g,567.0,26.7,50.0,16.7,3.33,10.0,0.0,0.0,True,Snack
PEANUTS,28.0 g,607.0,28.6,53.6,14.3,3.57,10.7,339.0,0.0,True,Snack
PEANUTS,28.0 g,571.0,25.0,50.0,17.9,3.57,7.1,357.0,0.0,True,Snack
